screening_record_id,study_id,citation_key,source_record_id,title,year,doi,doi_status,sources,screening_status,final_decision,primary_exclusion_code,harmonized_exclusion_reason,phishing_task_confirmed,primary_study_confirmed,posthoc_xai_confirmed,extractable,eligibility_rationale,metadata_source_note
FT013,S045,Tawfik2025ExplainableFewshotModern,2-s2.0-105023534042,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,2025,10.1038/s41598-025-27500-0,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing URL detection paper centered on an explainable few-shot learning framework with explicit multi-level XAI outputs for analyst interpretation. though explanation is intertwined with feature selection,citation_key_map_core_database.csv
FT014,S006,Prayogo2024ExplainableLearningBasedWebsite,2-s2.0-85207101088,An Explainable Machine Learning-Based Phishing Website Detection using Gradient Boosting,2024,10.1109/icitri62858.2024.10698870,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing website detection experiment with explicit post-hoc explainability using SHAP and LIME applied to the selected gradient-boosting model.,citation_key_map_core_database.csv
FT015,S026,Uddin2026ExplainableTransformerbasedEmail,2-s2.0-105028913015,An explainable transformer-based model for phishing email detection: A large language model approach,2026,10.1016/j.comnet.2026.112061,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing email detection experiment that explicitly applies and reports LIME and Transformer Interpret explanations on a fine-tuned DistilBERT classifier.,citation_key_map_core_database.csv
FT016,S005,Fatima2025ExplainableIOTDevices,2-s2.0-105026382146,Explainable AI for IOT Devices and Robotic Communication Phishing Detection: A Machine Learning Approach Using LIME and SHAP,2025,10.48084/etasr.11595,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing URL detection experiment built around an explicitly explainable random-forest pipeline with both local and global post-hoc XAI outputs.,citation_key_map_core_database.csv
FT017,S010,Yakandawala2024ExplainableTransparentEmail,2-s2.0-105010257519,Explainable AI for Transparent Phishing Email Detection,2024,10.1109/icatc64549.2024.11025302,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing email detection experiment that explicitly applies LIME to the selected SVM classifier and evaluates explanation usefulness via a user-facing GUI workflow.,citation_key_map_core_database.csv
FT018,S032,Tallapally2025ExplainableDeepEmail,2-s2.0-105032729605,Explainable Deep Learning Models for Phishing Email Detection,2025,10.1109/icscn67106.2025.11308654,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing email detection experiment that explicitly combines deep learning classifiers with LIME SHAP,citation_key_map_core_database.csv
FT019,S049,Lakshmi2026LightPhishAILightweightMultimodal,2-s2.0-105034415140,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,2026,10.14445/23488549/ijece-v13i3p120,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing website-detection experiment centered on multimodal URL/screenshot/metadata classification and explicitly reports integrated XAI outputs via Grad-CAM SHAP,citation_key_map_core_database.csv
FT020,S001,Keerthi2025ProactiveDefenseAgainst,2-s2.0-105034831363,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,2025,10.1109/icaaic64647.2025.11331006,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary empirical quishing-detection framework centered on QR-encoded phishing URLs and explicitly incorporates SHAP-based interpretability into the evaluated analyst-facing pipeline.,citation_key_map_core_database.csv
FT021,,,2-s2.0-105023656532,Lightweight malicious URL detection using deep learning and large language models,2025,10.1038/s41598-025-26653-2,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,no,Exclude because this is a general malicious-URL classification study spanning benign defacement,core_database_candidates.csv
FT022,S027,Bharath2025TrimodelEnsembleApproach,2-s2.0-105012487792,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,2025,10.1007/978-981-96-4430-8_29,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study because it is a primary phishing-URL detection experiment that explicitly integrates SHAP and LIME explanations into the evaluated tri-model ensemble workflow.,citation_key_map_core_database.csv
FT023,,,2-s2.0-105034893735,Cyber Threats Along with Textual Patterns Recognised by Machine Learning Strategies,2025,10.1109/icaaic64647.2025.11330645,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,yes,Exclude because this paper is framed as a broad cyber-threat textual-pattern framework spanning phishing emails malicious URLs,core_database_candidates.csv
FT024,S025,Alotaibi2025ExplainableArtificialIntelligence,2-s2.0-85206260772,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,2025,10.1016/j.aej.2024.09.115,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing detection is central (IoT phishing classification) and SHAP is used as a separable post-hoc explanation layer. Full-text confirmed.,citation_key_map_core_database.csv
FT025,S033,Hernandes2021URLbasedTechniques,2-s2.0-85125777751,Phishing Detection Using URL-based XAI Techniques,2021,10.1109/ssci50451.2021.9659981,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing URL detection central with XAI,citation_key_map_core_database.csv
FT026,S044,Alorvor2025RealTimeBrandProtection,2-s2.0-105017434519,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,2025,10.3390/electronics14183746,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing detection brand URL central,citation_key_map_core_database.csv
FT027,S055,Naseer2025ExplainableTabNetEnsemble,2-s2.0-105000280877,Explainable TabNet ensemble model for identification of obfuscated URLs with features selection to ensure secure web browsing,2025,10.1038/s41598-025-93286-w,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,TabNet LIME post-hoc,citation_key_map_core_database.csv
FT028,S048,Mahmood2025IntelligentCyberDefense,2-s2.0-105013263846,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,2025,10.58346/jowua.2025.i2.036,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing website DL LIME,citation_key_map_core_database.csv
FT029,S056,Akhtar2025MitigatingCyberThreats,2-s2.0-105018782845,Mitigating Cyber Threats: Machine Learning and Explainable AI for Phishing Detection,2025,10.21015/vtse.v13i2.2129,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing ML LIME,citation_key_map_core_database.csv
FT030,S058,Reda2025HybridMLOpsFramework,2-s2.0-105020879330,Hybrid MLOps framework for automated lifecycle management of adaptive phishing detection models,2025,10.1038/s41598-025-23600-z,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing MLOps SHAP,citation_key_map_core_database.csv
FT031,S041,Kehkashan2025ExplainableWebsiteSecure,2-s2.0-105022940709,Explainable phishing website detection for secure and sustainable cyber infrastructure,2025,10.1038/s41598-025-27984-w,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing RF SHAP 97pct,citation_key_map_core_database.csv
FT032,S037,Nauman2025TransparentTrustworthyCyberSecurity,2-s2.0-105026364473,Transparent and trustworthy CyberSecurity: an XAI-integrated big data framework for phishing attack detection,2025,10.3389/fdata.2025.1688091,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Phishing big data LIME SHAP,citation_key_map_core_database.csv
FT033,,,2-s2.0-105029015296,"Phishing Detection Using Random Forest-Based Weighted Bootstrap Sampling, LASSO and Feature Selection",2026,10.1007/978-3-032-10667-4_33,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,no,no,,no,No SHAP/LIME intrinsic only,core_database_candidates.csv
FT034,,,2-s2.0-105029652823,Metadata driven malicious URL detection using RoBERTa large and multi source network threat intelligence,2026,10.1038/s41598-025-34790-x,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,yes,no,,no,Multi-class URL not phishing,core_database_candidates.csv
FT035,S002,AlFayoumi2024XAIPhDFortifyingTrust,2-s2.0-85201680537,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,2024,10.3991/ijoe.v20i11.49533,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with explicit SHAP-based post-hoc explanation workflow.,citation_key_map_core_database.csv
FT036,,,2-s2.0-86000673132,Optimized SMS Spam Detection Using SVM-DistilBERT and Voting Classifier: A Comparative Study on the Impact of Lemmatization,2024,10.14569/ijacsa.2024.01511129,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,yes,no,,no,SMS spam not phishing,core_database_candidates.csv
FT037,,,2-s2.0-105033674945,A Comparative Analysis of Machine Learning Algorithms for Spam Email Classification with Explainable AI Insights,2025,10.1109/conmedia67140.2025.11290619,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,Spam email classification is the central task rather than phishing detection.,core_database_candidates.csv
FT038,S015,Arthy2025HybridApproachSecuring,2-s2.0-105008281606,A Hybrid Machine Learning Approach for Securing Emails:Phishing Detection and Prevention,2025,10.1109/icaeca63854.2025.11012305,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Primary phishing email study with explicit LIME/SHAP explanation layer in the proposed detector.,citation_key_map_core_database.csv
FT039,,,2-s2.0-105009059932,A Phishing Detection Approach for Empowering Cybersecurity with Explainable AI and SelectKBest,2024,10.1109/iccit64611.2024.11022444,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,no,SHAP is used to inspect selected features rather than as a distinct post-hoc explanation stage. though explanation is intertwined with feature selection,core_database_candidates.csv
FT040,S040,Mayo2026TemporallyDynamicFeatureExtraction,2-s2.0-105031075167,A Temporally Dynamic Feature-Extraction Framework for Phishing Detection with LIME and SHAP Explanations,2026,10.3390/fi18020101,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing email study with substantive LIME/SHAP post-hoc explanation sections beyond feature engineering.,citation_key_map_core_database.csv
FT041,,,2-s2.0-85217732281,A two-stage cyberbullying detection based on multi-view features and decision fusion strategy,2025,10.1007/s10489-024-06049-x,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,yes,yes,,no,Cyberbullying detection is the central task; SHAP is applied in an adjacent social-media abuse domain rather than phishing detection.,core_database_candidates.csv
FT042,,,2-s2.0-105000286934,A Phishing Website Detection System Based on Hybrid Feature Engineering with SHAP Explainable Artificial Intelligence Technique,2025,10.1007/978-981-96-1483-7_1,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,no,The paper frames SHAP inside a hybrid feature-engineering workflow rather than as a distinct post-hoc explanation stage for deployed phishing predictions.,core_database_candidates.csv
FT043,,,2-s2.0-105033154235,Agentic AI for Cybersecurity: Explainable Graph Neural Networks with Federated and Reinforcement Learning for Threat Prediction and Mitigation,2025,10.1109/fit67061.2025.11333757,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,yes,yes,,no,The paper studies network intrusion/threat prediction on NSL-KDD rather than phishing detection despite mentioning phishing as a background threat.,core_database_candidates.csv
FT044,,,2-s2.0-105001666288,AI-Driven Cyber Threat Detection: Revolutionizing Security Frameworks in Management Information Systems,2024,10.1109/icicyta64807.2024.10912927,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,yes,yes,,no,The study targets general cyber threat / intrusion detection on CICIDS2017 rather than phishing-central prediction despite using LIME.,core_database_candidates.csv
FT045,S051,Lad2025AIEnabledLinks,2-s2.0-105031132065,AI-Enabled Phishing Links Detection Using Machine Learning Models,2025,10.1109/snpd65828.2025.11254422,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with a distinct LIME post-hoc explanation layer used to interpret Random Forest predictions.,citation_key_map_core_database.csv
FT046,,,2-s2.0-105006471056,An explainable feature selection framework for web phishing detection with machine learning,2025,10.1016/j.dsm.2024.08.004,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,yes,yes,,no,Feature-selection framing dominates the xAI claim. though explanation is intertwined with feature selection,core_database_candidates.csv
FT047,S020,Melisa2025ExplainableHybridDeep,2-s2.0-105015888521,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,2025,10.1016/j.asej.2025.103745,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with a dedicated SHAP interpretability section analyzing classifier behavior after model training. though explanation is intertwined with feature selection,citation_key_map_core_database.csv
FT048,S047,Aldoufani2025IntelligentSystemDeep,2-s2.0-105031377997,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,2025,10.1109/isncc66965.2025.11250409,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing email/URL study with LIME embedded as a distinct post-hoc explanation service for dual DistilBERT phishing classifiers.,citation_key_map_core_database.csv
FT049,S023,Ahmed2026IntelligentEmailSystem,2-s2.0-105028851885,An intelligent phishing email detection system using ensemble methods and explainable AI,2026,10.1016/j.knosys.2026.115388,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing email study with explicit post-hoc explainable-AI error analysis workflow. though explanation is intertwined with feature selection,citation_key_map_core_database.csv
FT050,S021,Puri2022ApplicationEnsembleWeb,2-s2.0-85141678140,Application of ensemble Machine Learning models for phishing detection on web networks,2022,10.1109/ccict56684.2022.00062,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with a dedicated Tree SHAP interpretation section for the trained CatBoost ensemble after model selection.,citation_key_map_core_database.csv
FT051,,,2-s2.0-85197604548,Assessing the Models with Resampled Data Using Explainable Artificial Intelligence Techniques,2024,10.30880/jscdm.2024.05.01.002,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,The paper studies resampling effects on imbalanced classification broadly rather than phishing-central detection.,core_database_candidates.csv
FT052,,,2-s2.0-105022611363,Automated AI framework for Malicious URL detection through enhanced feature extraction,2026,10.1007/s11416-025-00581-1,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,Malicious URL scope drift rather than phishing-central prediction task. though explanation is intertwined with feature selection,core_database_candidates.csv
FT053,,,2-s2.0-105030344733,Beyond Classification: Understanding Why URLs Are Malicious with Transparent Convex Optimization and Interpretable XAI,2026,10.1007/978-3-032-14805-6_5,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,The predictive target is malicious URL detection broadly rather than phishing-central prediction.,core_database_candidates.csv
FT054,S030,Mia2025CanFeaturesURL,2-s2.0-85218426688,Can Features for Phishing URL Detection Be Trusted Across Diverse Datasets? A Case Study with Explainable AI,2024,10.1145/3704522.3704532,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study using explicit SHAP-based post-hoc analysis to examine feature generalizability across datasets.,citation_key_map_core_database.csv
FT055,,,2-s2.0-105000855161,CLE: Context-Aware Local Explanations for High Dimensional Tabular Data,2024,10.1109/icmla61862.2024.00111,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E1,"Non-primary, review, framework, or vision article",no,yes,,no,Explainer-method paper without phishing as the study focus.,core_database_candidates.csv
FT056,S012,Pragna2025ComprehensiveAnalysisApproaches,2-s2.0-105008421711,Comprehensive Analysis of Machine Learning Approaches for Phishing Website Detection,2025,10.1109/ic3ecsbhi63591.2025.10990503,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing website study with explicit LIME and SHAP post-hoc interpretation of trained classifiers.,citation_key_map_core_database.csv
FT057,S046,Bhavana2025ContextAwareEmailHybrid,2-s2.0-105032181494,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,2025,10.1109/ic366947.2025.11290431,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing email study with explicit LIME SHAP,citation_key_map_core_database.csv
FT058,S042,Almakhamreh2026CrossPhireBenefitingMultimodality,2-s2.0-105028725588,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,2026,10.3390/app16020751,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing web-page study with explicit LIME-based multimodal post-hoc explanation outputs.,citation_key_map_core_database.csv
FT059,,,2-s2.0-105031878099,Decentralized Agentic AI Security Framework Using Blockchain and Reinforcement Learning with Explainable AI,2025,10.1109/iccubea65967.2025.11283891,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,The paper studies general multimodal cyber-threat classification rather than phishing-central detection.,core_database_candidates.csv
FT060,,,2-s2.0-105032798794,Domain-Adaptive Transfer Learning for Privacy-Preserving Scam Call Detection,2026,10.1109/access.2026.3672272,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded; Web of Science,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,Adjacent scam-call prediction task outside phishing scope.,core_database_candidates.csv
FT061,,,2-s2.0-105034900040,Efficient and Lightweight Phishing Detection: A Case for Sustainable Cybersecurity with TF-IDF and LightGBM,2026,10.1109/access.2026.3679320,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,exclude,E4,No implemented/separable post-hoc xAI or intrinsic/feature-only interpretability,no,yes,,no,Phishing detection is central but the paper only reports intrinsic LightGBM feature-importance outputs rather than a separable post-hoc xAI layer.,core_database_candidates.csv
FT062,S039,BustioMartinez2026EnhancedMultimodalData,2-s2.0-105025197280,Enhanced phishing detection using multimodal data,2026,10.1016/j.knosys.2025.115105,doi_recorded,Scopus; Scopus-expanded; Web of Science,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing study with a dedicated SHAP-based post-hoc explanation layer attached to the selected Random Forest classifier.,citation_key_map_core_database.csv
FT063,S057,Datto2025EnhancedPayloadFineTuned,2-s2.0-105034150406,Enhanced Phishing Payload Detection Using Fine-Tuned DistilBERT and XAI-Based NLP Models,2025,10.1109/tencon66050.2025.11374958,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing email/payload study with explicit LIME and SHAP token-level post-hoc explanations for a fine-tuned DistilBERT detector.,citation_key_map_core_database.csv
FT064,S035,Pavani2024EnhancingOnlineSafety,2-s2.0-85212869098,Enhancing Online Safety: Phishing URL Detection Using Machine Learning and Explainable AI,2024,10.1109/icccnt61001.2024.10723976,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with explicit SHAP and LIME analyses applied after model training to explain Random Forest predictions.,citation_key_map_core_database.csv
FT065,S018,Budiman2026EnhancingXGBoostPerformance,2-s2.0-105034763804,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,2026,10.35335/ijobas.v14i4.771,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing website study combining PSO-optimized XGBoost with substantive SHAP post-hoc interpretation at global and local levels.,citation_key_map_core_database.csv
FT066,S014,Varsha2025ExplainableTechniquesChallenges,2-s2.0-105032735595,"Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation",2025,10.1109/raics66191.2025.11332593,doi_recorded,Scopus; IEEE Xplore; Scopus-expanded,fulltext_reviewed,include,,,yes,yes,yes,yes,Eligible phishing URL study with an explicit explainability module using SHAP and LIME attached to a Decision Tree detector; illustrative figures do not negate operational XAI use.,citation_key_map_core_database.csv
FT067,,,2-s2.0-105010176937,Explainable AI for URL Threat Detection in Healthcare Cybersecurity: A Case Study Using LIME and SHAP,2025,10.3233/shti250712,doi_recorded,Scopus; Scopus-expanded,fulltext_reviewed,exclude,E5,Not phishing-central or broader/different predictive target,no,yes,,no,URL threat detection in healthcare does not establish phishing as the central task.,core_database_candidates.csv
