study_id,citation_key,year,title,modality,xai_methods,dataset_provenance,validation_design,trust_evidence,operational_evidence,mixed_purpose_xai,claim_risk
S016,Sivasankar2025PracticalAddressingChallenges,2025,Towards Practical Phishing Detection: Addressing Challenges with Hybrid Machine Learning Architectures,url/website,SHAP,unclear/on request,unclear,none/rhetorical,none,no,high
S017,Matole2026SHAPDrivenFeatureSelection,2026,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,url,SHAP,public benchmark,multi-dataset,none/rhetorical,none,yes-feature-selection,moderate
S018,Budiman2026EnhancingXGBoostPerformance,2026,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,website,SHAP,public benchmark,single dataset,none/rhetorical,none,no,moderate
S019,Tashtoush2024ExploringLowlevelStatistical,2024,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,url,SHAP; LIME,public benchmark,single dataset,none/rhetorical,runtime/resource,yes-model-simplification,moderate
S020,Melisa2025ExplainableHybridDeep,2025,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,url,SHAP,unclear/on request,multi-dataset,none/rhetorical,runtime/resource,no,high
S021,Puri2022ApplicationEnsembleWeb,2022,Application of ensemble Machine Learning models for phishing detection on web networks,website,SHAP,public benchmark,multi-dataset,none/rhetorical,none,no,moderate
S022,Palavali2025ExplainableEnsembleDetecting,2025,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,url,SHAP; LIME; IGAM,public benchmark,single dataset,automated proxy,runtime/resource,no,high
S023,Ahmed2026IntelligentEmailSystem,2026,An intelligent phishing email detection system using ensemble methods and explainable AI,email,LIME,public benchmark,cross-dataset/external,none/rhetorical,runtime/resource,yes-feature-selection,low
S025,Alotaibi2025ExplainableArtificialIntelligence,2025,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,website,LIME,public benchmark,single dataset,none/rhetorical,runtime/resource,no,moderate
S026,Uddin2026ExplainableTransformerbasedEmail,2026,An explainable transformer-based model for phishing email detection: A large language model approach,email,LIME; attention/transformer visualization,public benchmark,single dataset,none/rhetorical,none,no,moderate
S027,Bharath2025TrimodelEnsembleApproach,2025,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,url,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,moderate
S029,Jovanovic2023ImprovingWebsiteHybrid,2023,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,website,SHAP,public benchmark,multi-dataset,none/rhetorical,none,no,moderate
S030,Mia2025CanFeaturesURL,2024,Can Features for Phishing URL Detection Be Trusted Across Diverse Datasets? A Case Study with Explainable AI,url/website,SHAP,public benchmark,cross-dataset/external,none/rhetorical,none,no,low
S031,Weamie2025ExplainableWebsiteEnhancing,2025,Explainable Machine Learning Models for Phishing Website Detection: Enhancing Transparency and Accuracy in Cybersecurity,url/website,SHAP; LIME,unclear/on request,single dataset,none/rhetorical,runtime/resource,no,moderate
S032,Tallapally2025ExplainableDeepEmail,2025,Explainable Deep Learning Models for Phishing Email Detection,email,SHAP; LIME; attention/transformer visualization; Grad-CAM,mixed public/custom,single dataset,none/rhetorical,prototype/interface,no,moderate
S033,Hernandes2021URLbasedTechniques,2021,Phishing Detection Using URL-based XAI Techniques,url,LIME; Explainable Boosting Machine,public benchmark,single dataset,none/rhetorical,none,no,moderate
S034,Kumar2026IPDMIntelligentECommerce,2026,IPDM: An Intelligent Phishing Detection Model for E-Commerce Websites,url/website,SHAP,public benchmark,single dataset,none/rhetorical,runtime/resource,no,moderate
S035,Pavani2024EnhancingOnlineSafety,2024,Enhancing Online Safety: Phishing URL Detection Using Machine Learning and Explainable AI,url/website,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,moderate
S036,Nti2026SynergisticIntrusionIntegrating,2026,Synergistic Phishing Intrusion Detection: Integrating Behavioral and Structural Indicators with Hybrid Ensembles and XAI Validation,url/website,SHAP,public benchmark,single dataset,none/rhetorical,none,no,moderate
S037,Nauman2025TransparentTrustworthyCyberSecurity,2025,Transparent and trustworthy CyberSecurity: an XAI-integrated big data framework for phishing attack detection,url,SHAP; LIME,public benchmark,multi-dataset,none/rhetorical,none,no,moderate
S038,Lim2025VeriPhishBridgingExplainability,2025,VeriPhish: Bridging AI Explainability and Accuracy in Phishing Detection Through XAI and LLMs,email,SHAP; LIME; LLM natural-language explanation,mixed public/custom,single dataset,automated proxy,prototype/interface,no,moderate
S039,BustioMartinez2026EnhancedMultimodalData,2026,Enhanced phishing detection using multimodal data,email,SHAP,public benchmark,single dataset,explicit human/user/analyst evaluation,none,no,moderate
S040,Mayo2026TemporallyDynamicFeatureExtraction,2026,A Temporally Dynamic Feature-Extraction Framework for Phishing Detection with LIME and SHAP Explanations,email,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,moderate
S041,Kehkashan2025ExplainableWebsiteSecure,2025,Explainable phishing website detection for secure and sustainable cyber infrastructure,website,SHAP,public benchmark,single dataset,none/rhetorical,none,yes-feature-selection,moderate
S042,Almakhamreh2026CrossPhireBenefitingMultimodality,2026,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,multimodal,LIME; hierarchical modality ablation,mixed public/custom,temporal/zero-day,none/rhetorical,runtime/resource,no,low
S043,Dhanavanthini2025HarnessingGreyWolf,2025,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,url,SHAP,unclear/on request,unclear,none/rhetorical,none,no,high
S044,Alorvor2025RealTimeBrandProtection,2025,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,url,SHAP; attention/transformer visualization,public benchmark,cross-dataset/external,automated proxy,prototype/interface,no,moderate
S045,Tawfik2025ExplainableFewshotModern,2025,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,url/website,SHAP; LIME; attention/transformer visualization; counterfactual explanation,mixed public/custom,cross-dataset/external,explicit human/user/analyst evaluation,field setting,no,low
S046,Bhavana2025ContextAwareEmailHybrid,2025,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,email,SHAP; LIME; attention/transformer visualization; BERTViz,public benchmark,single dataset,none/rhetorical,runtime/resource,no,high
S047,Aldoufani2025IntelligentSystemDeep,2025,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,email,LIME,public benchmark,multi-dataset,none/rhetorical,prototype/interface,no,moderate
S048,Mahmood2025IntelligentCyberDefense,2025,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,website,LIME,public benchmark,multi-dataset,none/rhetorical,runtime/resource,no,moderate
S049,Lakshmi2026LightPhishAILightweightMultimodal,2026,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,multimodal,SHAP; LIME; attention/transformer visualization; Grad-CAM,mixed public/custom,cross-dataset/external,none/rhetorical,runtime/resource,no,moderate
S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,2025,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,visual,LIME,mixed public/custom,single dataset,none/rhetorical,runtime/resource,no,moderate
S051,Lad2025AIEnabledLinks,2025,AI-Enabled Phishing Links Detection Using Machine Learning Models,url,LIME,unclear/on request,unclear,none/rhetorical,none,no,high
S052,Upreti2025AQUAPHISHLeveragingMetaheuristics,2025,AQUAPHISH: Leveraging Metaheuristics and Automated Machine Learning for Precision Phishing Detection,website,SHAP,public benchmark,single dataset,none/rhetorical,runtime/resource,no,moderate
S053,Gurjar2021WebSecAsstChromeExtension,2021,WebSecAsst - A Machine Learning based Chrome Extension,website,SHAP,public benchmark,single dataset,none/rhetorical,prototype/interface,no,moderate
S054,Liang2025WebsiteConstructionImproved,2025,Phishing Website Detection Model Construction Based on Improved IHHO-RF-SHAP Algorithm,website,SHAP,public benchmark,single dataset,none/rhetorical,none,no,high
S055,Naseer2025ExplainableTabNetEnsemble,2025,Explainable TabNet ensemble model for identification of obfuscated URLs with features selection to ensure secure web browsing,url,LIME; attention/transformer visualization,public benchmark,single dataset,none/rhetorical,none,yes-feature-selection,moderate
S056,Akhtar2025MitigatingCyberThreats,2025,Mitigating Cyber Threats: Machine Learning and Explainable AI for Phishing Detection,url,LIME,public benchmark,multi-dataset,none/rhetorical,none,no,moderate
S057,Datto2025EnhancedPayloadFineTuned,2025,Enhanced Phishing Payload Detection Using Fine-Tuned DistilBERT and XAI-Based NLP Models,email,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,moderate
S058,Reda2025HybridMLOpsFramework,2025,Hybrid MLOps framework for automated lifecycle management of adaptive phishing detection models,url,SHAP,mixed public/custom,temporal/zero-day,none/rhetorical,workflow/lifecycle,no,low
S059,Ivanicki2026StudyDegradationAcrossReal,2026,An Explainable AI Study of Phishing Detection Model Degradation Across Real-World Events,url/website,SHAP; LIME,public benchmark,temporal/zero-day,none/rhetorical,none,no,low
S060,Asal2026EmailClassificationComparativeStudy,2026,"Deep learning and explainable AI for email phishing classification: A comparative study of TabNet, NODE and FT-transformer models",email,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,low
S061,Kumar2025HumanWrittenGeneratedEmails,2025,Detecting Human-Written and AI-Generated Phishing Emails with DistilBERT and Explainable AI,email,SHAP; LIME,custom/proprietary,single dataset,none/rhetorical,none,no,high
S062,Fatih2025EvaluatingLIMEExplainabilityURL,2025,Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models,url,LIME,public benchmark,single dataset,automated proxy,none,no,moderate
S063,Uddin2025SiteHighEfficiencyBoosting,2025,Explainable Machine Learning for Phishing Site Detection: A High-Efficiency Approach Using Boosting Models and SHAP,url/website,SHAP,public benchmark,single dataset,none/rhetorical,runtime/resource,no,moderate
S064,Yi2025URLInterpretabilityCrossDataset,2026,Phishing URL Detection and Interpretability With Machine Learning: A Cross-Dataset Approach,url,SHAP,unclear/on request,cross-dataset/external,none/rhetorical,prototype/interface,no,low
S065,Alasmari2025IoTIntegratedCNNLSTM,2025,Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,multimodal,SHAP; LIME; LLM natural-language explanation; integrated gradients,unclear/on request,multi-dataset,explicit human/user/analyst evaluation,runtime/resource,no,high
S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,2025,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,multimodal,SHAP; LIME,mixed public/custom,multi-dataset,none/rhetorical,prototype/interface,no,high
S067,AlSubaiey2024NovelInterpretableRobustWeb,2024,Novel interpretable and robust web-based AI platform for phishing email detection,email,LIME,unclear/on request,multi-dataset,none/rhetorical,prototype/interface,no,moderate
S068,Choutapally2024PaciPhishInterpretableURL,2024,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,url,LIME,mixed public/custom,single dataset,none/rhetorical,runtime/resource,no,high
S069,Kluge2021ExplainingSuspicionDesignUser,2021,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,email,custom text-highlight explanation,unclear/on request,single dataset,explicit human/user/analyst evaluation,none,no,low
S070,Ananthajothi2026HybridTabNetTransformerText,2026,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,multimodal,SHAP,custom/proprietary,multi-dataset,none/rhetorical,none,no,high
S071,Shakir2026NovelPSOOptimizedRandom,2026,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,url/website,LIME,public benchmark,multi-dataset,none/rhetorical,runtime/resource,no,low
S072,Sathiyapriya2026EmailLinkGenerativeML,2026,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,multimodal,SHAP; LIME; LLM natural-language explanation,mixed public/custom,temporal/zero-day,behavior/field outcome,workflow/lifecycle,no,high
S073,Shanthi2026SecureURLIntelligenceEngine,2026,Secure URL Intelligence Based Engine for Phishing Detection,url,SHAP,unclear/on request,single dataset,explicit human/user/analyst evaluation,prototype/interface,no,moderate
S074,Mursi2025AgainstSmishingKenyaCulturally,2025,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,sms/smishing,SHAP,public benchmark,single dataset,explicit human/user/analyst evaluation,prototype/interface,no,high
S075,Chiper2025EveryCharacterCountsFrom,2025,Every Character Counts: From Vulnerability to Defense in Phishing Detection,email,Grad-CAM/CAM,public benchmark,single dataset,none/rhetorical,runtime/resource,no,moderate
S076,Kapoor2025PrivacyPreservingEnsembleURL,2025,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,url,SHAP; LIME,public benchmark,single dataset,none/rhetorical,none,no,high
S077,Zhang2025TowardsEducationalZeroShot,2025,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,visual,LLM natural-language explanation,custom/proprietary,single dataset,none/rhetorical,runtime/resource,no,moderate
S078,Greco2023ExplainingAttacksEnhanceUser,2023,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,email,SHAP; LIME; Explainable Boosting Machine,mixed public/custom,single dataset,none/rhetorical,prototype/interface,no,moderate
S079,Bharanidharan2026EnsembleUrlLightweightCyber,2026,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,url,SHAP; Explainable Boosting Machine,public benchmark,single dataset,none/rhetorical,runtime/resource,no,high
S080,Graziano2026PhishVision20ImprovedVisual,2026,PhishVision2.0: An Improved Visual Brand Impersonation Detector for Identifying Phishing Attacks,visual,Grad-CAM/CAM,mixed public/custom,single dataset,none/rhetorical,runtime/resource,no,high
S081,Althoubi2025CATGPT4Context,2025,CAT-GPT-4: Context-Aware Phishing Detection with Explainability,email,LIME; attention/transformer visualization,mixed public/custom,single dataset,explicit human/user/analyst evaluation,runtime/resource,no,high
S082,Tashtoush2025LeveragingLargeLanguageAnalysis,2025,Leveraging Large Language Models for Detection and Intelligent Analysis of Phishing Threats,email,LLM natural-language explanation,public benchmark,single dataset,explicit human/user/analyst evaluation,prototype/interface,no,high
S083,Mendoza2025PhishFindRealTime,2025,PhishFind: A Machine Learning-Based System for Real-Time Phishing Detection,url/website,LLM natural-language explanation,mixed public/custom,single dataset,explicit human/user/analyst evaluation,workflow/lifecycle,no,high
S084,Hassan2024EnhancingCyberSecurityEnsemble,2024,Enhancing The Cyber Security Using Ensemble Stacking Model For Phishing Sites Detection With Hyperparameter Tuning,url/website,SHAP; Shapash/ELI5,public benchmark,single dataset,none/rhetorical,none,no,moderate
S085,Charmet2024VORTEXVisualDetectiOnsARe,2024,VORTEX: Visual Phishing DetectiOns aRe Through EXplanations,visual,Grad-CAM/CAM,public benchmark,single dataset,automated proxy,none,no,moderate
S086,Islam2024PhishGuardConvolutionalNeuralNetwork,2024,PhishGuard: A Convolutional Neural Network-Based Model for Detecting Phishing URLs with Explainability Analysis,url,SHAP,public benchmark,single dataset,none/rhetorical,none,no,high
