study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,screening_decision,phishing_subtype,modality,model_family,posthoc_xai_method,dataset,evaluation_metrics,baseline_models,explanation_purpose,main_findings,limitations,reproducibility_notes,threats_to_validity,synthesis_notes,primary_modality_normalized,xai_methods_normalized,model_families_normalized,explanation_role_primary,explanation_role_secondary,mixed_purpose_xai,trust_evidence_level,trust_evidence_basis,operational_evidence_level,operational_evidence_basis,validation_gate_reached,dataset_provenance_category,validation_design,reproducibility_level,claim_evidence_mismatch,claim_risk,coding_notes
S017,Matole2026SHAPDrivenFeatureSelection,FT087,2-s2.0-105028271007,Scopus; Scopus-expanded,10.1007/978-3-032-10670-4_28,doi_recorded,2026,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,include,URL phishing,url,ensemble ML; boosted trees; classical ML,SHAP,"ISCX-URL-2016 with more than 15,000 labeled URLs and up to 80 features; UCI Phishing Dataset with 11,055 records and 30 URL/HTML/security features. Both are split 80/20 after preprocessing with imputation and standard scaling.","Meta-ensemble reports 98.73% accuracy, 98.94% precision, 98.48% recall and 98.71% F1 on ISCX-URL-2016; 97.69% accuracy, 97.35% precision, 98.46% recall and 97.90% F1 on UCI. Confusion matrices report ISCX 1542 TN, 1493 TP, 15 FP, 24 FN with 40 SHAP features; UCI 947 TN, 1213 TP, 33 FP, 18 FN with 30 SHAP features.","Initial XGBoost for SHAP ranking; meta-ensemble base classifiers SVM, Random Forest and XGBoost with Logistic Regression meta-classifier; compared with XGBoost+TreeSHAP and other published baselines.","SHAP is used for feature selection and interpretability: features are ranked by mean absolute SHAP values, then top-n subsets are used to train the ensemble; SHAP summary visualizations explain influential URL features.","The study shows that SHAP-guided feature selection plus a meta-ensemble can retain high performance using reduced feature subsets. On ISCX, performance peaks around 40 of 80 features; on UCI, gains taper near 25-30 features. This is a mixed-purpose XAI paper because SHAP primarily selects features while also providing explanatory summaries. Trust is rhetorical; operational efficiency is claimed through feature reduction but runtime is not measured.","The study does not provide real deployment, latency or user-evaluation evidence. Future work targets resource-constrained deployment on smartphones/IoT and deeper ensemble-specific explainability.","Reports Google Colab with T4 GPU, Python libraries (scikit-learn, XGBoost, SHAP, Seaborn, Matplotlib, Pandas), datasets, preprocessing and split. Exact notebook/code and random seeds are not established.","SHAP is used as a model-selection/feature-selection mechanism, so explanations may be entangled with optimization. Benchmark-only evaluation and no temporal external test limit deployment generalizability.",Explanation role: explanation-informed modeling. Mixed-purpose xAI: yes-feature-selection. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP,classical ML; boosted trees; ensemble/AutoML,explanation-informed modeling,model inspection,yes-feature-selection,none/rhetorical,Trust is rhetorical.,none,Feature reduction is reported but no real deployment or latency evidence.,artifact,public benchmark,multi-dataset,moderate,SHAP-driven feature selection should not be treated as mature human-facing XAI.,moderate,SHAP feature-selection meta-ensemble.
S018,Budiman2026EnhancingXGBoostPerformance,FT065,2-s2.0-105034763804,Scopus; Scopus-expanded,10.35335/ijobas.v14i4.771,doi_recorded,2026,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,include,phishing website detection,website; url/website,boosted trees; metaheuristic optimization; classical ML,SHAP,"UCI Phishing Websites dataset with 11,055 samples and 30 descriptive URL/security features; binary labels indicate phishing/malicious versus legitimate/safe sites. Split is 80/20, with 5-fold cross-validation inside PSO optimization.","PSO-optimized XGBoost achieves accuracy 0.911, precision 0.906, recall 0.902, F1 0.904 and ROC-AUC 0.935. Baselines: Random Forest accuracy 0.896 and ROC-AUC 0.921; SVM accuracy 0.872 and ROC-AUC 0.903; default XGBoost accuracy 0.842 and ROC-AUC 0.875.","Random Forest, RBF-SVM, default XGBoost and PSO-optimized XGBoost. PSO uses 30 particles and 50 iterations to tune n_estimators, max_depth, learning_rate, subsample and colsample_bytree.","SHAP is applied globally and locally to the optimized XGBoost model, identifying dominant features such as Have_IP, URL_Length, HTTPS, Redirect and Domain_Age; one phishing sample has predicted probability 0.87 with feature-level SHAP contributions.","The paper combines PSO hyperparameter tuning with SHAP-based interpretability for XGBoost phishing website detection. PSO materially improves XGBoost over default settings and baselines, while SHAP exposes the dominant URL/security features driving phishing predictions. Trust is rhetorical: stakeholder confidence is claimed from SHAP transparency, not measured with users.","The study uses a single UCI dataset and does not test larger/recent real-world phishing feeds, temporal robustness, deep feature representations, real-time deployment, computational efficiency or adversarial robustness. These are explicitly left for future work.","Reports dataset, split, PSO population/iterations, optimized hyperparameters (n_estimators 270, max_depth 8, learning_rate 0.07, subsample 0.85, colsample_bytree 0.72) and model metrics. Code and random seeds are not established.",Single benchmark dataset and optimization on accuracy may overfit to UCI-style features. SHAP is post-hoc but tightly coupled to optimized model tuning; no explanation-fidelity or human-utility validation is reported.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,SHAP,classical ML; boosted trees; optimization-assisted ML,model inspection,,no,none/rhetorical,No explanation-fidelity or human-utility validation.,none,Computational efficiency and deployment are future work.,artifact,public benchmark,single dataset,moderate,PSO optimization and single UCI benchmark limit generalization and operational claims.,moderate,Budiman PSO+XGBoost+SHAP paper.
S019,Tashtoush2024ExploringLowlevelStatistical,FT072,2-s2.0-85197388361,Scopus; Scopus-expanded; Web of Science,10.1007/s10586-024-04655-5,doi_recorded,2024,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,include,URL phishing / website phishing,url,classical ML; boosted trees; CNN; BiLSTM; deep learning,SHAP; LIME,"Benchmark website-phishing dataset from Hannousse and Yahiouche; original dataset has 87 features, but this study uses only URL and status columns. Balanced class distribution: 5,715 legitimate and 5,715 phishing URLs. Train/test split is 80/20.",Accuracy is the main metric. Experiment 1 with 12 statistical n-gram features: XGBoost best around 82.41/82.46% with 8-grams. Experiment 2 with 25 features: XGBoost 86.40%. Experiment 3 with 41 features: XGBoost 88.15/88.51% and LightGBM 87.84% with 8-grams. Experiment 4 direct n-gram deep learning: CNN reaches 94.09%. SHAP-selected reduced sets report 84.74% with top 4 features and comparable results with top 10 features while reducing training time.,"Logistic Regression, Decision Tree, Random Forest, XGBoost, LightGBM, Gradient Boosting, AdaBoost, Naive Bayes, CNN, BiLSTM, TF-IDF+XGBoost and TF-IDF combinations with CNN/BiLSTM.",SHAP provides global feature importance and LIME explains individual predictions. Explanations are used to identify important n-gram-derived statistical features and to select smaller feature subsets for lower training time and complexity.,"The paper reframes URL phishing detection around low-level hexadecimal n-gram statistics rather than high-level web-page features. CNN over raw n-gram representations reaches the best accuracy at 94.09%, while XGBoost on 41 statistical/count features reaches about 88%. SHAP and LIME identify the max n-gram statistic and hexadecimal character counts as influential, and SHAP-selected feature subsets reduce feature count and training time. Trust is rhetorical; no user study is reported.","The study reports accuracy only as the main metric, with limited external validation. It uses one benchmark dataset and proposes future experiments with new features, new datasets and matched comparative analyses. Operational utility is inferred through feature-count/training-time reduction but not deployed or latency-tested.","Data availability gives a Kaggle web-page phishing dataset link and states no new datasets were generated. Methodology describes hexadecimal conversion, n-gram lengths, split and feature construction, but code and random seeds are not established.","Feature selection is mixed-purpose: SHAP/LIME support both explanation and optimization. Accuracy-only evaluation, single balanced dataset and no temporal/adversarial testing limit generalizability.",Explanation role: explanation-informed modeling. Mixed-purpose xAI: yes-model-simplification. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP; LIME,classical ML; boosted trees; deep learning; CNN,explanation-informed modeling,model inspection,yes-model-simplification,none/rhetorical,Trust is rhetorical.,runtime/resource,Training-time reduction ratios are reported through feature-count comparisons.,artifact,public benchmark,single dataset,moderate,Training-time reduction is not evidence of deployment latency or user-facing explanation value.,moderate,Low-level feature/XAI mixed-purpose case.
S020,Melisa2025ExplainableHybridDeep,FT047,2-s2.0-105015888521,Scopus; Scopus-expanded; Web of Science,10.1016/j.asej.2025.103745,doi_recorded,2025,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,include,URL phishing,url,hybrid deep learning; transformer; SVM; optimization/metaheuristic,SHAP,"URLs from Alexa and PhishTank are described; experiments report PhishTank and ISCX-URL-2016, with PhishStorm appearing in comparisons. A preprocessing link to a GitHub phishing-detection topic is mentioned; Alexa Top Sites and DMOZ are also discussed as future extensions.","Abstract reports PhishTank accuracy 98.67%. Results/conclusion report average 5-fold CV accuracy 99.53%; PhishTank accuracy 99.53, sensitivity 98.37 and precision 97.63; ISCX accuracy 99.26 with similar sensitivity/precision; PhishStorm accuracy 97.83; AUC 0.9580. Feature-sharing/training/classification time is reported as 3.64 s, with feature-selection component times including ANOVA 4.87 s, BKA 5.12 s, Spearman 7.35 s and clustering 8.56 s.","GAN with DPCA augmentation, CNN, GRU, FMRCNN and Transformer feature learning, ANOVA/BKA/Spearman feature selection and SVM classifier; compared against existing phishing detection methods/datasets including PhishTank, ISCX and PhishStorm baselines.","SHAP beeswarm and bar plots explain the top URL features of the hybrid model, such as URL length, number of dots and IP-address indicators; explanation is also used to justify selected features.","The paper proposes a hybrid deep-learning and optimization framework combining synthetic augmentation, transformer-style feature learning, feature selection and SVM classification. It reports very high accuracy on PhishTank and ISCX-URL-2016, with explicit computational-time figures for several pipeline components. SHAP identifies lexical URL structure features as dominant. Trust is rhetorical because no user or analyst evaluation is conducted.",The method is computationally complex and mainly evaluated on PhishTank/ISCX-style URL corpora. The paper notes future need for visual/voice phishing support and edge deployment; synthetic sample generalization remains uncertain.,"Datasets and component pipeline are described, but exact preprocessing, generated data, source code and dataset snapshots are not sufficient for exact independent replication.","Synthetic augmentation, multi-stage feature selection and possible dataset overlap/provenance ambiguity may inflate performance. SHAP is partly mixed-purpose because it validates selected features rather than only serving downstream explanation.",Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: high.,url,SHAP,classical ML; deep learning; hybrid ML/DL; transformer/LLM; optimization-assisted ML,model inspection,,no,none/rhetorical,No user/analyst trust evidence.,runtime/resource,Feature-sharing/training/classification and component times are reported.,artifact,unclear/on request,multi-dataset,moderate,Synthetic augmentation and provenance ambiguity make performance and efficiency claims risky.,high,Hybrid DL/optimization SHAP paper.
S021,Puri2022ApplicationEnsembleWeb,FT050,2-s2.0-85141678140,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ccict56684.2022.00062,doi_recorded,2022,Application of ensemble Machine Learning models for phishing detection on web networks,include,web phishing / phishing website detection,website; url/website,ensemble ML; boosted trees; classical ML,SHAP,"Open-source combined dataset from Alexa, UCI, PhishTank and Kaggle; 11,055 rows with 32 columns including 31 URL/web characteristics plus Result. SMOTE increases the dataset by about 12%.","With SMOTE, reported accuracies include CatBoost 98.61 (best), Decision Tree 98.53, Random Forest 97.88, XGBoost 97.44, LightGBM 96.87, K-means/KNN-style model 95.96, AdaBoost 93.96 and Voting 93.91. F1 scores for CatBoost/RF are about 0.98 for phishing and legitimate classes.","Random Forest, Decision Tree, CatBoost, XGBoost, LightGBM, AdaBoost, voting ensemble and K-nearest/K-means style baseline.","TreeSHAP is applied to the best CatBoost model for global and individual feature attribution, ranking URL_of_Anchor as most important and showing low contribution for HTTPS_Token, Favicon, PopUpWindow, Shortening_Services and URL_Length.","CatBoost on a SMOTE-expanded combined web-phishing dataset gives the strongest reported accuracy at 98.61%, with tree-ensemble baselines also high. SHAP is used to interpret the CatBoost classifier globally and locally, with URL_of_Anchor dominating feature importance. Trust is rhetorical and based on interpretability claims rather than user measurement.","The paper notes SHAP combinatorial/temporal complexity and proposes future expansion of datasets, algorithms and SHAP-related features. No concrete deployment, latency or user-study evidence is provided.","Data sources and feature count are identified, but exact merged dataset snapshot, SMOTE settings, train/test split details, code and random seeds are not fully specified in the extracted evidence.","Merged-source dataset provenance, SMOTE resampling and lack of temporal external validation may overstate generalization. SHAP feature importance is descriptive and not validated against causal phishing indicators.",Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,SHAP,classical ML; boosted trees; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,SHAP feature importance is descriptive only.,none,"No latency, deployment, or user-study evidence.",artifact,public benchmark,multi-dataset,moderate,SMOTE/merged-source benchmark results do not support deployment or trust claims.,moderate,Early CatBoost+TreeSHAP baseline.
S022,Palavali2025ExplainableEnsembleDetecting,FT070,2-s2.0-105034839755,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iceca66444.2025.11382884,doi_recorded,2025,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,include,phishing URL detection,url,hybrid deep learning; ensemble ML; boosted trees; interpretable models,SHAP; LIME; IGAM,"Mendeley Phishing Dataset with 88,647 labeled URLs, 48 handcrafted features plus URL and label columns (50 total columns). Features cover address bar, domain and HTML/JavaScript categories. Split is 70% training, 15% validation and 15% testing.","X-URLIntelNet reports accuracy 97.2%, precision 96.7%, recall 96.2%, AUC-ROC 0.982 and inference time 1.3 ms/sample. Baselines include EBM 95.5% accuracy, LightGBM 95.3%, CNN-only 94.1% and Random Forest 92.6%. Confusion matrix reports 4,785 phishing and 4,860 legitimate correctly classified, 165 false positives and 190 false negatives. Explainability score is reported as 0.93 for X-URLIntelNet+SHAP versus RF+LIME 0.76 and LightGBM+SHAP 0.82.","Random Forest, CNN-only, LightGBM, Explainable Boosting Machine, Logistic Rule Regression and the proposed dual-branch X-URLIntelNet with character CNN, CTI-attention MLP, cross-attention fusion and weighted ensemble.","SHAP, LIME and IGAM provide global feature importance and local instance-level justifications for the ensemble. SHAP highlights URL_Length, Having_IP_Address, Prefix_Suffix and Domain_Age; IGAM highlights Subdomain_Count, Domain_Token_Count, HTTPS_Usage and URL_Depth.","X-URLIntelNet combines raw URL character patterns with lightweight cyber threat intelligence features and an explainable ensemble, achieving strong accuracy plus explicit inference-time evidence. It is one of the stronger operational papers because 1.3 ms/sample inference is reported. The paper also assigns a numeric explainability score, but this is not a human-subject trust outcome, so trust remains rhetorical/technical.","The conclusion section appears internally inconsistent, switching to a Fed-OGNet/federated Oracle Cloud narrative unrelated to the phishing URL system. No independent user/analyst evaluation validates the explainability score. External temporal and adversarial robustness are not clearly demonstrated.","Reports dataset, features, split, hardware (Intel Core i7, 32 GB RAM, NVIDIA RTX 3060, Ubuntu 20.04), Python 3.9, TensorFlow and scikit-learn. Exact code and dataset snapshot are not established.",Internal manuscript inconsistency raises reliability concerns. Explainability score definition is unclear and may not be comparable across papers. Single dataset and generated/placeholder figures limit confidence.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: automated proxy. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: high.,url,SHAP; LIME; IGAM,boosted trees; ensemble/AutoML; deep learning; hybrid ML/DL,model inspection,local decision rationale,no,automated proxy,Explainability score is technical/internal and not a human trust measure.,runtime/resource,Inference time per sample is reported.,artifact,public benchmark,single dataset,moderate,Internal manuscript inconsistency and unclear explainability score increase evidence risk.,high,Use cautiously despite latency evidence.
S023,Ahmed2026IntelligentEmailSystem,FT049,2-s2.0-105028851885,Scopus; Scopus-expanded; Web of Science,10.1016/j.knosys.2026.115388,doi_recorded,2026,An intelligent phishing email detection system using ensemble methods and explainable AI,include,email phishing,email,ensemble ML; classical ML,LIME,"Training/validation uses Enron, SpamAssassin and Nazario email corpora; model comparison reports 31,785 legitimate and 3,532 phishing emails. Unseen test uses 2,234 legitimate emails (1,997 Enron and 237 SpamAssassin) plus 527 phishing emails from Nazario years 2019, 2021 and 2024 excluded from training/validation.","Best baseline SV3 (XGBoost+RF soft voting) reports train accuracy 99.92, test accuracy 99.71, test F1 0.9971, training time 36.72 s and batch inference 0.0622 s. After LIME-guided refinement, SV3 reports train/validation accuracy 99.86, F1 0.9986, AUC 0.9992; unseen test accuracy 99.75, F1 0.9975, AUC 0.9934, phishing precision 1.0000, phishing recall 0.9867, TP 520, FP 0, TN 2234, FN 7. LIME refinement reduces false negatives from 8 to 7 and improves inference from 0.0622 s to 0.0189 s for SV3.","Soft and hard voting ensembles: SV1 MLP+DT, SV2 DT+RF, SV3 XGBoost+RF, HV1 MLP+DT, HV2 DT+RF and HV3 XGBoost+RF; 5-fold stratified CV and grid search are used.","LIME is used as an error-analysis and model-refinement tool: explanations identify HTML-content presence as a misclassification driver, motivating feature removal/revision and improving generalization and runtime.","This is one of the strongest examples where XAI changes the model-development loop rather than only decorating predictions. LIME-driven error analysis reduces false negatives, improves AUC and cuts inference time for the best ensemble, while preserving near-perfect email phishing performance on an unseen temporal Nazario test set. Trust is not measured with users, but operational utility is measured through training and inference-time comparisons.","Legitimate email samples are mostly older/pre-2010, and the two-base-learner ensemble design trades accuracy against computational time. Human trust or analyst workflow impact is not evaluated.","The paper reports datasets, test composition, Python 3.12.5, scikit-learn 1.5.1, hardware (Intel i5-4310U, 8 GB RAM), cross-validation and grid-search setup, which supports partial reproduction; exact code availability is not established in the extracted evidence.","Older legitimate corpora, class imbalance and manually motivated feature removal may limit deployment generalizability. LIME is used for model debugging but explanation fidelity is not externally validated.",Explanation role: robustness/failure analysis. Mixed-purpose xAI: yes-feature-selection. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: low.,email,LIME,classical ML; ensemble/AutoML,robustness/failure analysis,explanation-informed modeling,yes-feature-selection,none/rhetorical,No human trust or analyst workflow evaluation.,runtime/resource,Training and batch-inference times are measured before and after LIME-guided refinement.,artifact,public benchmark,cross-dataset/external,moderate,Operational gains are real but model-debugging evidence should not be recast as human trust evidence.,low,LIME is used for error analysis and model refinement.
S025,Alotaibi2025ExplainableArtificialIntelligence,FT024,2-s2.0-85206260772,Scopus; Scopus-expanded; Web of Science,10.1016/j.aej.2024.09.115,doi_recorded,2025,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,include,web phishing,website,hybrid deep learning; optimization-based feature selection,LIME,"Kaggle Web Page Phishing Detection Dataset: 11,430 URLs with 87 features, balanced 50% phishing and 50% legitimate; features include URL structure, content, and external service attributes.","80/20 test: accuracy 99.23%, precision 99.22%, recall 99.23%, F1 99.23%, AUC 99.23%. 70/30 test: accuracy 99.00%, precision 99.01%, recall 99.00%, F1 99.00%, AUC 99.00%. Comparative 70% training average 99.29%; computation time 1.97 s versus baselines from 2.95-8.30 s.",BDT; Decision Forest/DT; LSTM-CNN; Logistic Regression; EAFS-RF; BHPO-MLPAD; DNN.,LIME is appended to the HHO-FS + MHA-LSTM + AOA pipeline to explain local black-box phishing classification decisions.,"XAIAOA-WPC combines preprocessing, Harris Hawks feature selection, MHA-LSTM classification, Aquila optimization, and LIME explanations for web phishing classification in secure IoT/cloud-CPS framing. The paper reports very high benchmark performance and a measured computation-time comparison (1.97 s), making operational utility measured at the benchmark-runtime level. Trust is rhetorical: LIME is claimed to improve user understanding, but no user or analyst evaluation is reported.","Authors note dependence on training data quality and quantity, method complexity, higher computational needs, and the need for real-world testing in dynamic IoT environments. Additional data sources and broader phishing types remain future work.",Data are openly available from the Kaggle web-page phishing dataset; hardware and Python version are reported. Code is not clearly linked in the converted full text.,"Feature selection and optimization are tightly coupled with explanation, so xAI is partly mixed-purpose. Benchmark-only evaluation may not transfer to live CPS/IoT settings; very high metrics need external replication.",Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: runtime/resource. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,LIME,deep learning; hybrid ML/DL; optimization-assisted ML,local decision rationale,,no,none/rhetorical,No user/analyst trust evidence.,runtime/resource,Computation time is measured against baselines.,artifact,public benchmark,single dataset,moderate,Measured computation time is not the same as live CPS/IoT deployment or trust.,moderate,LIME plus optimization evidence.
S026,Uddin2026ExplainableTransformerbasedEmail,FT015,2-s2.0-105028913015,Scopus; Scopus-expanded; Web of Science,10.1016/j.comnet.2026.112061,doi_recorded,2026,An explainable transformer-based model for phishing email detection: A large language model approach,include,phishing email,email,transformer/LLM,LIME; transformer attribution / Transformer Interpret,"Kaggle phishing emails dataset with 11,322 safe emails and 7,328 phishing emails; after oversampling, balanced to 11,322 safe and 11,322 phishing emails; 70/30 train/test split with 15,850 training and 6,794 testing samples",confusion matrix; precision; recall; F1; training accuracy/loss; testing accuracy/loss,prior phishing email studies in comparison table; DistilBERT balanced vs imbalanced training modes,explain fine-tuned DistilBERT email classifications using LIME word-level perturbation explanations and Transformer Interpret token attribution,"Fine-tuned DistilBERT achieves 97.50% testing accuracy on the imbalanced dataset and 98.48% testing accuracy on the balanced oversampled dataset; balanced training reports 99.07% training accuracy and 0.0447 testing loss. On the balanced test set, phishing-email precision/recall/F1 are 0.97/1.00/0.99, while safe-email precision/recall/F1 are 1.00/0.97/0.98. LIME and Transformer Interpret both highlight influential words/subwords for phishing decisions, making the model rationale more visible. Trust is rhetorical because no human/user validation is reported.","The paper is a non-peer-reviewed preprint and uses one Kaggle dataset with oversampling; performance may reflect duplicated minority examples. LIME feature count is limited to 15 words for feasibility, and Transformer Interpret can fragment words into subwords, complicating interpretation. No deployment/runtime benchmark or user study is reported.","Dataset link is provided through Kaggle; model hyperparameters are reported, including DistilBERT, max sequence length 512, batch sizes 32/64, AdamW, learning rate 2e-5, and 6 epochs. No public source-code repository is evident.",Oversampling by duplication can inflate balanced-set performance and reduce generalization to new phishing campaigns. Explanation examples are illustrative rather than systematically evaluated. Trust/comprehension claims are not supported by human-subject evidence.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,email,LIME; attention/transformer visualization,transformer/LLM,local decision rationale,model inspection,no,none/rhetorical,Explanation examples are illustrative only.,none,Operational utility is not addressed beyond generic DistilBERT efficiency.,artifact,public benchmark,single dataset,moderate,Oversampled single-dataset performance and illustrative explanations do not support trust claims.,moderate,Transformer-based email phishing study with post-hoc XAI.
S027,Bharath2025TrimodelEnsembleApproach,FT022,2-s2.0-105012487792,Scopus; Scopus-expanded,10.1007/978-981-96-4430-8_29,doi_recorded,2025,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,include,URL phishing,url,ensemble ML; boosted trees,SHAP; LIME,"Kaggle phishing URL dataset with 100,078 instances, 20 URL lexical/symbol-count features, and binary phishing label.","Tri-model ensemble accuracy 92.8%. Initial accuracies: XGBoost 88.3%, AdaBoost 88.3%, Random Forest 88.28%; tuning raised XGBoost and AdaBoost to 91.11% and RF to roughly 90-91%.",Random Forest; Logistic Regression; Decision Tree; Naive Bayes; Gradient Boosting; AdaBoost; XGBoost; CatBoost; tuned XGBoost/AdaBoost/RF.,Use SHAP for global feature-contribution analysis and LIME for local instance-level explanations of the final tri-model ensemble.,"The study builds a phishing URL detector by selecting the three strongest tuned learners (XGBoost, AdaBoost, Random Forest) and combining them into a tri-model ensemble, improving accuracy to 92.8%. SHAP is used to summarize feature contributions across the ensemble and LIME explains individual predictions. Trust is argued through transparency language only; no human, analyst, or user outcome study is reported.","Evidence is limited to one Kaggle lexical URL dataset and accuracy-focused benchmarking. No external temporal validation, adversarial validation, deployment test, runtime measurement, or human trust/usability evaluation is reported.","Dataset source is identified as Kaggle and the 20 features are listed. Code, exact split protocol, and tuned hyperparameters are not clearly provided in the converted full text.",Single-dataset evaluation may overstate generalization to current phishing campaigns. Hyperparameter tuning and ensemble selection risk overfitting without external validation. Explanation quality is illustrated but not independently evaluated.,Explanation role: local decision rationale. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,url,SHAP; LIME,boosted trees; ensemble/AutoML,local decision rationale,model inspection,no,none/rhetorical,SHAP/LIME explanation quality is not human-validated.,none,No runtime or deployment evidence.,artifact,public benchmark,single dataset,moderate,Single-dataset accuracy and explanation plots do not support trust or operational claims.,moderate,Tri-model ensemble benchmark.
S029,Jovanovic2023ImprovingWebsiteHybrid,FT076,2-s2.0-85167715224,Scopus; IEEE Xplore; Scopus-expanded; Web of Science,10.13052/jwe1540-9589.2237,doi_recorded,2023,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,include,phishing website detection,website; url/website,boosted trees; metaheuristic optimization,SHAP,"Three public phishing website datasets: two Mendeley Phishing Websites variants using 20% of small and full versions with 11,728 and 17,729 entries respectively, each with 111 features; UCI Phishing Websites dataset with 6,157 phishing and 4,898 legitimate URLs.","DOFA/XGBoost two-level framework reports on Mendeley small with feature selection accuracy about 93.35% and full Mendeley about 95.54%; without feature selection full Mendeley reaches 96.3057%; UCI experiment with level-2 tuning reaches 97.6029% accuracy, macro precision 0.976181, macro recall 0.976029 and macro F1 0.975998.","XGBoost tuned by Diversity-Oriented Firefly Algorithm compared with original Firefly Algorithm, Bat Algorithm, Artificial Bee Colony, Harris Hawks Optimization, Sine Cosine Algorithm and Social Network Search in the same two-level framework.","SHAP is applied to the best-performing model from the final UCI experiment to interpret all 30 UCI features. SSL certificates are the strongest feature, followed by anchor URLs, prefixes/suffixes and traffic data.","The paper proposes a two-level DOFA framework for feature selection and XGBoost hyperparameter tuning on phishing website datasets. SHAP is used after model selection to interpret the best UCI model, making the explanation layer separable but subordinate to optimization. The UCI model reaches about 97.6% accuracy and SHAP identifies SSL/anchor/prefix-suffix/traffic features as influential. Trust is rhetorical and operational evidence is mainly experimental computational setup, not deployment.","Feature selection can reduce complexity but may slightly underperform all-feature tuning on some Mendeley runs. The authors leave evaluation on other datasets before real-world deployment as future work. No user study, latency or live deployment evidence is reported.","Reports public Mendeley and UCI dataset links, Python libraries, population/iteration settings, repeated runs, parameter tables and statistical tests. Code availability is not established.",Metaheuristic comparison is complex and benchmark-specific; SHAP interpretation is only applied to the final/best UCI model. Explanation role is mixed with optimization and not validated for analyst usefulness.,Explanation role: model inspection. Mixed-purpose xAI: no. Trust evidence: none/rhetorical. Operational evidence: none. Validation gate: artifact. Reproducibility: moderate. Claim-evidence risk: moderate.,website,SHAP,boosted trees; optimization-assisted ML,model inspection,,no,none/rhetorical,No user or analyst evidence.,none,No latency or live deployment evidence.,artifact,public benchmark,multi-dataset,moderate,Feature-selection complexity reduction does not establish operational readiness or trust.,moderate,DOFA-XGBoost-SHAP mixed-purpose paper.
