study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,dataset_provenance_category,validation_design,reproducibility_level,source_signals,risk_signals
S039,BustioMartinez2026EnhancedMultimodalData,FT062,2-s2.0-105025197280,Scopus; Scopus-expanded; Web of Science,10.1016/j.knosys.2025.115105,doi_recorded,2026,Enhanced phishing detection using multimodal data,public benchmark,single dataset,moderate,Custom/synthetic,deployment_unvalidated; human_unvalidated
S040,Mayo2026TemporallyDynamicFeatureExtraction,FT040,2-s2.0-105031075167,Scopus; Scopus-expanded; Web of Science,10.3390/fi18020101,doi_recorded,2026,A Temporally Dynamic Feature-Extraction Framework for Phishing Detection with LIME and SHAP Explanations,public benchmark,single dataset,high,Enron; SpamAssassin; Nazario; GitHub dataset,single_dataset; dataset_provenance_unclear; human_unvalidated
S041,Kehkashan2025ExplainableWebsiteSecure,FT031,2-s2.0-105022940709,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27984-w,doi_recorded,2025,Explainable phishing website detection for secure and sustainable cyber infrastructure,public benchmark,single dataset,moderate,Kaggle; UCI,single_dataset; deployment_unvalidated
S042,Almakhamreh2026CrossPhireBenefitingMultimodality,FT058,2-s2.0-105028725588,Scopus; Scopus-expanded; Web of Science,10.3390/app16020751,doi_recorded,2026,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,mixed public/custom,temporal/zero-day,high,PhishTank; OpenPhish,deployment_unvalidated
S043,Dhanavanthini2025HarnessingGreyWolf,FT073,2-s2.0-105031429722,Scopus; IEEE Xplore; Scopus-expanded,10.1109/asiancon66527.2025.11281144,doi_recorded,2025,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,unclear/on request,unclear,unclear,Kaggle; PhishTank; Custom/synthetic,dataset_provenance_unclear; deployment_unvalidated; human_unvalidated
S044,Alorvor2025RealTimeBrandProtection,FT026,2-s2.0-105017434519,Scopus; Scopus-expanded; Web of Science,10.3390/electronics14183746,doi_recorded,2025,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,public benchmark,cross-dataset/external,moderate,none detected,balancing_or_resampling; deployment_unvalidated; human_unvalidated
S045,Tawfik2025ExplainableFewshotModern,FT013,2-s2.0-105023534042,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27500-0,doi_recorded,2025,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,mixed public/custom,cross-dataset/external,high,PhishTank; GitHub dataset,balancing_or_resampling
S046,Bhavana2025ContextAwareEmailHybrid,FT057,2-s2.0-105032181494,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ic366947.2025.11290431,doi_recorded,2025,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,public benchmark,single dataset,moderate,none detected,balancing_or_resampling
S047,Aldoufani2025IntelligentSystemDeep,FT048,2-s2.0-105031377997,Scopus; IEEE Xplore; Scopus-expanded,10.1109/isncc66965.2025.11250409,doi_recorded,2025,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,public benchmark,multi-dataset,moderate,Kaggle,deployment_unvalidated; human_unvalidated
S048,Mahmood2025IntelligentCyberDefense,FT028,2-s2.0-105013263846,Scopus; Scopus-expanded,10.58346/jowua.2025.i2.036,doi_recorded,2025,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,public benchmark,multi-dataset,moderate,Kaggle,balancing_or_resampling; dataset_provenance_unclear; deployment_unvalidated
S049,Lakshmi2026LightPhishAILightweightMultimodal,FT019,2-s2.0-105034415140,Scopus; Scopus-expanded,10.14445/23488549/ijece-v13i3p120,doi_recorded,2026,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,mixed public/custom,cross-dataset/external,moderate,UCI; PhishTank; OpenPhish,deployment_unvalidated; human_unvalidated
S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,FT069,2-s2.0-105030075493,Scopus; IEEE Xplore; Scopus-expanded,10.1109/discover66922.2025.11258928,doi_recorded,2025,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,mixed public/custom,single dataset,moderate,Mendeley; Custom/synthetic,balancing_or_resampling; deployment_unvalidated
S051,Lad2025AIEnabledLinks,FT045,2-s2.0-105031132065,Scopus; IEEE Xplore; Scopus-expanded,10.1109/snpd65828.2025.11254422,doi_recorded,2025,AI-Enabled Phishing Links Detection Using Machine Learning Models,unclear/on request,unclear,low,none detected,deployment_unvalidated; human_unvalidated
S052,Upreti2025AQUAPHISHLeveragingMetaheuristics,FT002,2-s2.0-105012279379,Scopus; Scopus-expanded,10.38094/jastt61238,doi_recorded,2025,AQUAPHISH: Leveraging Metaheuristics and Automated Machine Learning for Precision Phishing Detection,public benchmark,single dataset,moderate,Mendeley,single_dataset; deployment_unvalidated; human_unvalidated
S053,Gurjar2021WebSecAsstChromeExtension,FT091,2-s2.0-85113807729,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icces51350.2021.9488953,doi_recorded,2021,WebSecAsst - A Machine Learning based Chrome Extension,public benchmark,single dataset,high,UCI; GitHub dataset,deployment_unvalidated; human_unvalidated
S054,Liang2025WebsiteConstructionImproved,FT084,2-s2.0-105016998396,Scopus; IEEE Xplore; Scopus-expanded,10.1109/acctcs66275.2025.00142,doi_recorded,2025,Phishing Website Detection Model Construction Based on Improved IHHO-RF-SHAP Algorithm,public benchmark,single dataset,moderate,UCI,deployment_unvalidated; human_unvalidated
S055,Naseer2025ExplainableTabNetEnsemble,FT027,2-s2.0-105000280877,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-93286-w,doi_recorded,2025,Explainable TabNet ensemble model for identification of obfuscated URLs with features selection to ensure secure web browsing,public benchmark,single dataset,moderate,ISCX/CIC,balancing_or_resampling; dataset_provenance_unclear; deployment_unvalidated
S056,Akhtar2025MitigatingCyberThreats,FT029,2-s2.0-105018782845,Scopus; Scopus-expanded,10.21015/vtse.v13i2.2129,doi_recorded,2025,Mitigating Cyber Threats: Machine Learning and Explainable AI for Phishing Detection,public benchmark,multi-dataset,moderate,ISCX/CIC,deployment_unvalidated; human_unvalidated
S057,Datto2025EnhancedPayloadFineTuned,FT063,2-s2.0-105034150406,Scopus; IEEE Xplore; Scopus-expanded,10.1109/tencon66050.2025.11374958,doi_recorded,2025,Enhanced Phishing Payload Detection Using Fine-Tuned DistilBERT and XAI-Based NLP Models,public benchmark,single dataset,moderate,none detected,single_dataset; balancing_or_resampling; deployment_unvalidated; human_unvalidated
S058,Reda2025HybridMLOpsFramework,FT030,2-s2.0-105020879330,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-23600-z,doi_recorded,2025,Hybrid MLOps framework for automated lifecycle management of adaptive phishing detection models,mixed public/custom,temporal/zero-day,high,PhishTank; OpenPhish; GitHub dataset,deployment_unvalidated
S059,Ivanicki2026StudyDegradationAcrossReal,FT092,10.1109/isdfs69419.2026.11459104,IEEE Xplore,10.1109/isdfs69419.2026.11459104,doi_recorded,2026,An Explainable AI Study of Phishing Detection Model Degradation Across Real-World Events,public benchmark,temporal/zero-day,moderate,Kaggle; GitHub dataset,deployment_unvalidated
S060,Asal2026EmailClassificationComparativeStudy,FT093,10.2339/politeknik.1745083,Web of Science,10.2339/politeknik.1745083,doi_recorded,2026,"Deep learning and explainable AI for email phishing classification: A comparative study of TabNet, NODE and FT-transformer models",public benchmark,single dataset,moderate,Kaggle,balancing_or_resampling; deployment_unvalidated
S061,Kumar2025HumanWrittenGeneratedEmails,FT094,10.1109/incowoco68239.2025.11407086,IEEE Xplore,10.1109/incowoco68239.2025.11407086,doi_recorded,2025,Detecting Human-Written and AI-Generated Phishing Emails with DistilBERT and Explainable AI,custom/proprietary,single dataset,moderate,Custom/synthetic,none detected
S062,Fatih2025EvaluatingLIMEExplainabilityURL,FT095,10.1109/icetisi67983.2025.11406019,IEEE Xplore,10.1109/icetisi67983.2025.11406019,doi_recorded,2025,Evaluating LIME-Based Explainability for Phishing URL Detection Across Multiple Machine Learning Models,public benchmark,single dataset,moderate,Kaggle,balancing_or_resampling
S063,Uddin2025SiteHighEfficiencyBoosting,FT096,10.1049/tje2.70110,Web of Science,10.1049/tje2.70110,doi_recorded,2025,Explainable Machine Learning for Phishing Site Detection: A High-Efficiency Approach Using Boosting Models and SHAP,public benchmark,single dataset,moderate,Kaggle,single_dataset
S064,Yi2025URLInterpretabilityCrossDataset,FT097,10.1002/spy2.70175,Web of Science,10.1002/spy2.70175,doi_recorded,2026,Phishing URL Detection and Interpretability With Machine Learning: A Cross-Dataset Approach,unclear/on request,cross-dataset/external,moderate,none detected,none detected
S065,Alasmari2025IoTIntegratedCNNLSTM,FT098,10.1007/s43926-025-00202-9,Scopus; Scopus-expanded,10.1007/s43926-025-00202-9,doi_recorded,2025,Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,unclear/on request,multi-dataset,moderate,none detected,balancing_or_resampling; llm_or_api_drift
S066,Kirupa2025SafeSurfBrowserIntegratedHybrid,FT099,10.1109/gcwcn66157.2025.11448531,IEEE Xplore,10.1109/gcwcn66157.2025.11448531,doi_recorded,2025,SafeSurf-AI: A Browser-Integrated Hybrid Phishing and Spam Detection Framework with Real-Time Awareness Simulation and Explainable AI,mixed public/custom,multi-dataset,moderate,PhishTank; Enron; SpamAssassin; Nazario; Custom/synthetic,deployment_unvalidated
S067,AlSubaiey2024NovelInterpretableRobustWeb,FT100,10.1016/j.compeleceng.2024.109625,Scopus; Web of Science; Scopus-expanded,10.1016/j.compeleceng.2024.109625,doi_recorded,2024,Novel interpretable and robust web-based AI platform for phishing email detection,unclear/on request,multi-dataset,moderate,none detected,none detected
S068,Choutapally2024PaciPhishInterpretableURL,FT101,10.1109/cars61786.2024.10778820,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cars61786.2024.10778820,doi_recorded,2024,PaciPhish: Intelligent and Interpretable Phishing URL Detection Framework,mixed public/custom,single dataset,moderate,PhishTank; Custom/synthetic,balancing_or_resampling
S069,Kluge2021ExplainingSuspicionDesignUser,FT102,10.1007/978-3-030-86797-3_17,Scopus; Scopus-expanded,10.1007/978-3-030-86797-3_17,doi_recorded,2021,Explaining the Suspicion: Design of an XAI-Based User-Focused Anti-Phishing Measure,unclear/on request,single dataset,moderate,none detected,none detected
S070,Ananthajothi2026HybridTabNetTransformerText,FT103,10.1109/iitcee67948.2026.11394524,IEEE Xplore,10.1109/iitcee67948.2026.11394524,doi_recorded,2026,A Hybrid Deep Learning Approach for Phishing Detection Using TabNet and Transformer-Based Text Analysis,custom/proprietary,multi-dataset,low,Custom/synthetic,dataset_provenance_unclear; deployment_unvalidated
S071,Shakir2026NovelPSOOptimizedRandom,FT104,10.22266/ijies2026.0531.02,Scopus; Scopus-expanded,10.22266/ijies2026.0531.02,doi_recorded,2026,A Novel PSO-optimized Random Forest Model for Enhanced Phishing Detection,public benchmark,multi-dataset,moderate,UCI; Mendeley,none detected
S072,Sathiyapriya2026EmailLinkGenerativeML,FT105,10.1109/idciot67589.2026.11455836,IEEE Xplore,10.1109/idciot67589.2026.11455836,doi_recorded,2026,AI-Based Phishing Email and Link Detection Framework Through Generative AI and Explainable ML,mixed public/custom,temporal/zero-day,moderate,Kaggle; PhishTank; Enron; SpamAssassin; Custom/synthetic,deployment_unvalidated
S073,Shanthi2026SecureURLIntelligenceEngine,FT110,10.1109/iciss67859.2026.11453639,IEEE Xplore,10.1109/iciss67859.2026.11453639,doi_recorded,2026,Secure URL Intelligence Based Engine for Phishing Detection,unclear/on request,single dataset,moderate,none detected,dataset_provenance_unclear; deployment_unvalidated
S074,Mursi2025AgainstSmishingKenyaCulturally,FT111,10.1109/ictmod66732.2025.11371821,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictmod66732.2025.11371821,doi_recorded,2025,AI Against Smishing in Kenya: Culturally Adapted SMS Scam Detection for Digital Trust,public benchmark,single dataset,high,GitHub dataset,none detected
S075,Chiper2025EveryCharacterCountsFrom,FT112,10.1109/ictai66417.2025.00066,IEEE Xplore; Scopus; Scopus-expanded,10.1109/ictai66417.2025.00066,doi_recorded,2025,Every Character Counts: From Vulnerability to Defense in Phishing Detection,public benchmark,single dataset,high,Enron; SpamAssassin; Nazario,none detected
S076,Kapoor2025PrivacyPreservingEnsembleURL,FT113,10.1109/medcom67532.2025.11405148,IEEE Xplore,10.1109/medcom67532.2025.11405148,doi_recorded,2025,Explainable and Privacy-Preserving Ensemble Framework for Phishing URL Detection,public benchmark,single dataset,low,Kaggle,dataset_provenance_unclear
S077,Zhang2025TowardsEducationalZeroShot,FT114,10.1109/bigdata66926.2025.11402600,IEEE Xplore,10.1109/bigdata66926.2025.11402600,doi_recorded,2025,Towards Explainable and Educational Phishing Detection: A Zero-Shot LLM Approach,custom/proprietary,single dataset,moderate,Custom/synthetic,deployment_unvalidated; llm_or_api_drift
S078,Greco2023ExplainingAttacksEnhanceUser,FT121,PlanB:PB-ALL-030; sources:Scopus-expanded; verified:CEUR/DBLP; url:https://ceur-ws.org/Vol-3488/paper22.pdf,Scopus; Scopus-expanded,,no_doi_identified,2023,Explaining Phishing Attacks: An XAI Approach to Enhance User Awareness and Trust,mixed public/custom,single dataset,moderate,Enron; SpamAssassin; Custom/synthetic,none detected
S079,Bharanidharan2026EnsembleUrlLightweightCyber,FT127,10.1109/icmsci67830.2026.11469630,IEEE Xplore,10.1109/icmsci67830.2026.11469630,doi_recorded,2026,Explainable Ensemble Learning for Phishing Url Detection With Lightweight Cyber Threat Intelligence and Multi-Objective Optimization,public benchmark,single dataset,moderate,Mendeley,dataset_provenance_unclear; deployment_unvalidated
S080,Graziano2026PhishVision20ImprovedVisual,FT131,10.1007/978-3-032-00137-5_18,Scopus; Scopus-expanded,10.1007/978-3-032-00137-5_18,doi_recorded,2026,PhishVision2.0: An Improved Visual Brand Impersonation Detector for Identifying Phishing Attacks,mixed public/custom,single dataset,moderate,Phishpedia/VisualPhishNet; Custom/synthetic,none detected
S081,Althoubi2025CATGPT4Context,FT136,10.1109/cyber-ai66431.2025.11233494,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cyber-ai66431.2025.11233494,doi_recorded,2025,CAT-GPT-4: Context-Aware Phishing Detection with Explainability,mixed public/custom,single dataset,moderate,Enron; SpamAssassin; Custom/synthetic,llm_or_api_drift
S082,Tashtoush2025LeveragingLargeLanguageAnalysis,FT144,10.1109/cyber-ai66431.2025.11233620,IEEE Xplore; Scopus; Scopus-expanded,10.1109/cyber-ai66431.2025.11233620,doi_recorded,2025,Leveraging Large Language Models for Detection and Intelligent Analysis of Phishing Threats,public benchmark,single dataset,moderate,Enron,balancing_or_resampling; llm_or_api_drift
S083,Mendoza2025PhishFindRealTime,FT146,10.1145/3771678.3771683,Scopus; Scopus-expanded,10.1145/3771678.3771683,doi_recorded,2025,PhishFind: A Machine Learning-Based System for Real-Time Phishing Detection,mixed public/custom,single dataset,moderate,PhishTank,deployment_unvalidated; llm_or_api_drift
S084,Hassan2024EnhancingCyberSecurityEnsemble,FT149,10.1109/iccit64611.2024.11022560,IEEE Xplore; Scopus; Scopus-expanded,10.1109/iccit64611.2024.11022560,doi_recorded,2024,Enhancing The Cyber Security Using Ensemble Stacking Model For Phishing Sites Detection With Hyperparameter Tuning,public benchmark,single dataset,moderate,UCI,balancing_or_resampling
