study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,primary_modality_normalized,xai_methods_normalized,model_families_normalized,explanation_role_primary,explanation_role_secondary,mixed_purpose_xai,trust_evidence_level,trust_evidence_basis,operational_evidence_level,operational_evidence_basis,validation_gate_reached,dataset_provenance_category,validation_design,reproducibility_level,claim_evidence_mismatch,claim_risk,coding_notes
S001,Keerthi2025ProactiveDefenseAgainst,FT020,2-s2.0-105034831363,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icaaic64647.2025.11331006,doi_recorded,2025,Proactive Defense Against Quishing: Integrating Predictive Analytics and Dynamic Analysis for Intelligent Threat Detection,qr/quishing,SHAP; analyst dashboard visualization,classical ML; boosted trees; hybrid ML/DL,operational interface support,local decision rationale,no,none/rhetorical,Analyst-interface usefulness is argued from design only.,prototype/interface,Streamlit dashboard and sandbox artifacts are demonstrated on a small dynamic subset.,interface,custom/proprietary,single dataset,low,Prototype evidence is real but small; trust and operational-scale claims remain overextended.,moderate,Quishing study with SHAP and dynamic-analysis evidence.
S027,Bharath2025TrimodelEnsembleApproach,FT022,2-s2.0-105012487792,Scopus; Scopus-expanded,10.1007/978-981-96-4430-8_29,doi_recorded,2025,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,url,SHAP; LIME,boosted trees; ensemble/AutoML,local decision rationale,model inspection,no,none/rhetorical,SHAP/LIME explanation quality is not human-validated.,none,No runtime or deployment evidence.,artifact,public benchmark,single dataset,moderate,Single-dataset accuracy and explanation plots do not support trust or operational claims.,moderate,Tri-model ensemble benchmark.
S025,Alotaibi2025ExplainableArtificialIntelligence,FT024,2-s2.0-85206260772,Scopus; Scopus-expanded; Web of Science,10.1016/j.aej.2024.09.115,doi_recorded,2025,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,website,LIME,deep learning; hybrid ML/DL; optimization-assisted ML,local decision rationale,,no,none/rhetorical,No user/analyst trust evidence.,runtime/resource,Computation time is measured against baselines.,artifact,public benchmark,single dataset,moderate,Measured computation time is not the same as live CPS/IoT deployment or trust.,moderate,LIME plus optimization evidence.
S033,Hernandes2021URLbasedTechniques,FT025,2-s2.0-85125777751,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ssci50451.2021.9659981,doi_recorded,2021,Phishing Detection Using URL-based XAI Techniques,url,LIME; Explainable Boosting Machine,classical ML,local decision rationale,model inspection,no,none/rhetorical,Local explanations are not evaluated with humans.,none,Speed/accuracy analysis is framed as future work.,artifact,public benchmark,single dataset,moderate,Early XAI evidence remains benchmark and explanation-visualization based.,moderate,Includes intrinsic EBM plus post-hoc LIME.
S044,Alorvor2025RealTimeBrandProtection,FT026,2-s2.0-105017434519,Scopus; Scopus-expanded; Web of Science,10.3390/electronics14183746,doi_recorded,2025,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,url,SHAP; attention/transformer visualization,deep learning; CNN,model inspection,robustness/failure analysis,no,automated proxy,Attention-SHAP consistency metrics are automated explanation-alignment proxies.,prototype/interface,"A working Streamlit application supports single/batch URL analysis, SHAP visualization, bilingual interaction, and feedback logging.",interface,public benchmark,cross-dataset/external,moderate,"Real-time evidence is measured, but analyst-facing explainability and trust are not.",moderate,Real-time TCN with external validation.
S055,Naseer2025ExplainableTabNetEnsemble,FT027,2-s2.0-105000280877,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-93286-w,doi_recorded,2025,Explainable TabNet ensemble model for identification of obfuscated URLs with features selection to ensure secure web browsing,url,LIME; attention/transformer visualization,ensemble/AutoML; deep learning; hybrid ML/DL,explanation-informed modeling,model inspection,yes-feature-selection,none/rhetorical,No human trust/usability evidence.,none,Edge/resource evaluation is left for future work.,artifact,public benchmark,single dataset,moderate,Feature-selection validation should not be read as user-facing explanation maturity.,moderate,TabNet attention + LIME mixed-purpose case.
S048,Mahmood2025IntelligentCyberDefense,FT028,2-s2.0-105013263846,Scopus; Scopus-expanded,10.58346/jowua.2025.i2.036,doi_recorded,2025,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,website,LIME,boosted trees; ensemble/AutoML,local decision rationale,model inspection,no,none/rhetorical,Trust is asserted without user evidence.,runtime/resource,Training time is tabulated across models/datasets.,artifact,public benchmark,multi-dataset,moderate,Training-time evidence does not establish real-time prevention or trust.,moderate,LIME over ensemble website detector.
S056,Akhtar2025MitigatingCyberThreats,FT029,2-s2.0-105018782845,Scopus; Scopus-expanded,10.21015/vtse.v13i2.2129,doi_recorded,2025,Mitigating Cyber Threats: Machine Learning and Explainable AI for Phishing Detection,url,LIME,classical ML; boosted trees; deep learning; CNN,local decision rationale,model inspection,no,none/rhetorical,No human or analyst validation.,none,Real-time/resource-constrained validation is future work.,artifact,public benchmark,multi-dataset,moderate,"Multi-dataset benchmarks improve breadth, but operational and trust claims remain unsupported.",moderate,Multi-dataset LIME benchmark.
S058,Reda2025HybridMLOpsFramework,FT030,2-s2.0-105020879330,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-23600-z,doi_recorded,2025,Hybrid MLOps framework for automated lifecycle management of adaptive phishing detection models,url,SHAP,ensemble/AutoML; MLOps/adaptive lifecycle,operational interface support,robustness/failure analysis,no,none/rhetorical,Stakeholder review/HITL is structured but not evaluated for trust or workload.,workflow/lifecycle,"Reports drift detection, retraining/deployment latency, throughput, p99 latency, fairness and lifecycle controls.",interface,mixed public/custom,temporal/zero-day,high,"Strong lifecycle evidence; human trust, workload, and decision-quality outcomes remain unmeasured.",low,Adaptive MLOps study with lifecycle-level operational evidence.
S041,Kehkashan2025ExplainableWebsiteSecure,FT031,2-s2.0-105022940709,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27984-w,doi_recorded,2025,Explainable phishing website detection for secure and sustainable cyber infrastructure,website,SHAP,classical ML; random forest,explanation-informed modeling,model inspection,yes-feature-selection,none/rhetorical,Trust/transparency claims are rhetorical.,none,Cost-effectiveness is argued without explicit latency or deployment timing.,artifact,public benchmark,single dataset,moderate,SHAP-guided feature pruning is not evidence of user trust or deployment readiness.,moderate,Sustainable-infrastructure rhetoric requires caution.
S037,Nauman2025TransparentTrustworthyCyberSecurity,FT032,2-s2.0-105026364473,Scopus; Scopus-expanded; Web of Science,10.3389/fdata.2025.1688091,doi_recorded,2025,Transparent and trustworthy CyberSecurity: an XAI-integrated big data framework for phishing attack detection,url,SHAP; LIME,classical ML; ensemble/AutoML; deep learning,model inspection,local decision rationale,no,none/rhetorical,Trust claims are unsupported by user study.,none,"Big-data/real-time framing lacks concrete latency, throughput, or deployment metrics.",artifact,public benchmark,multi-dataset,moderate,Broad cyber-attack framing and missing operational metrics weaken phishing-specific claims.,moderate,Multi-dataset URL study using SHAP and LIME.
S002,AlFayoumi2024XAIPhDFortifyingTrust,FT035,2-s2.0-85201680537,Scopus; Scopus-expanded; Web of Science,10.3991/ijoe.v20i11.49533,doi_recorded,2024,XAI-PhD: Fortifying Trust of Phishing URL Detection Empowered by Shapley Additive Explanations,url,SHAP,boosted trees,explanation-informed modeling,model inspection,yes-feature-selection,none/rhetorical,Trust remains rhetorical.,runtime/resource,Prediction time per dataset and per record is reported.,artifact,public benchmark,single dataset,moderate,Runtime evidence is model-level; analyst effectiveness and field robustness are not measured.,moderate,SHAP feature-selection study with reported runtime measurements.
S015,Arthy2025HybridApproachSecuring,FT038,2-s2.0-105008281606,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icaeca63854.2025.11012305,doi_recorded,2025,A Hybrid Machine Learning Approach for Securing Emails:Phishing Detection and Prevention,email,SHAP; LIME,deep learning; hybrid ML/DL; transformer/LLM,operational interface support,local decision rationale,no,none/rhetorical,No user comprehension or trust test.,prototype/interface,Email-extension workflow and automated actions are described without latency/throughput measurement.,interface,unclear/on request,unclear,low,Prototype claims are weakened by unclear dataset provenance and absent scale testing.,high,Email XAI prototype with provenance concerns.
S040,Mayo2026TemporallyDynamicFeatureExtraction,FT040,2-s2.0-105031075167,Scopus; Scopus-expanded; Web of Science,10.3390/fi18020101,doi_recorded,2026,A Temporally Dynamic Feature-Extraction Framework for Phishing Detection with LIME and SHAP Explanations,email,SHAP; LIME,classical ML; boosted trees; ensemble/AutoML; random forest,model inspection,local decision rationale,no,none/rhetorical,Transparency/trustworthiness are argued from model evidence only.,none,"No concrete runtime, latency, deployment, or human evidence despite temporal framing.",artifact,public benchmark,single dataset,high,Dynamic temporal framing does not establish online drift adaptation or trust.,moderate,"Good reproducibility, limited outcome validation."
S051,Lad2025AIEnabledLinks,FT045,2-s2.0-105031132065,Scopus; IEEE Xplore; Scopus-expanded,10.1109/snpd65828.2025.11254422,doi_recorded,2025,AI-Enabled Phishing Links Detection Using Machine Learning Models,url,LIME,classical ML; ensemble/AutoML,local decision rationale,model inspection,no,none/rhetorical,LIME examples are illustrative only.,none,No runtime or deployment validation.,artifact,unclear/on request,unclear,low,Metric inconsistencies and unclear dataset source weaken evidence.,high,Random-forest phishing-link study using LIME; reporting detail is limited.
S020,Melisa2025ExplainableHybridDeep,FT047,2-s2.0-105015888521,Scopus; Scopus-expanded; Web of Science,10.1016/j.asej.2025.103745,doi_recorded,2025,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,url,SHAP,classical ML; deep learning; hybrid ML/DL; transformer/LLM; optimization-assisted ML,model inspection,,no,none/rhetorical,No user/analyst trust evidence.,runtime/resource,Feature-sharing/training/classification and component times are reported.,artifact,unclear/on request,multi-dataset,moderate,Synthetic augmentation and provenance ambiguity make performance and efficiency claims risky.,high,Hybrid DL/optimization SHAP paper.
S047,Aldoufani2025IntelligentSystemDeep,FT048,2-s2.0-105031377997,Scopus; IEEE Xplore; Scopus-expanded,10.1109/isncc66965.2025.11250409,doi_recorded,2025,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,email,LIME,deep learning; transformer/LLM,operational interface support,local decision rationale,no,none/rhetorical,LIME usefulness is not human-grounded.,prototype/interface,"API/browser workflow and response-time target are described, but measured latency tables are absent.",interface,public benchmark,multi-dataset,moderate,"Prototype constraints are acknowledged, but benchmark scores do not establish deployability or trust.",moderate,Transformer + LIME prototype.
S023,Ahmed2026IntelligentEmailSystem,FT049,2-s2.0-105028851885,Scopus; Scopus-expanded; Web of Science,10.1016/j.knosys.2026.115388,doi_recorded,2026,An intelligent phishing email detection system using ensemble methods and explainable AI,email,LIME,classical ML; ensemble/AutoML,robustness/failure analysis,explanation-informed modeling,yes-feature-selection,none/rhetorical,No human trust or analyst workflow evaluation.,runtime/resource,Training and batch-inference times are measured before and after LIME-guided refinement.,artifact,public benchmark,cross-dataset/external,moderate,Operational gains are real but model-debugging evidence should not be recast as human trust evidence.,low,LIME is used for error analysis and model refinement.
S021,Puri2022ApplicationEnsembleWeb,FT050,2-s2.0-85141678140,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ccict56684.2022.00062,doi_recorded,2022,Application of ensemble Machine Learning models for phishing detection on web networks,website,SHAP,classical ML; boosted trees; ensemble/AutoML,model inspection,local decision rationale,no,none/rhetorical,SHAP feature importance is descriptive only.,none,"No latency, deployment, or user-study evidence.",artifact,public benchmark,multi-dataset,moderate,SMOTE/merged-source benchmark results do not support deployment or trust claims.,moderate,Early CatBoost+TreeSHAP baseline.
S030,Mia2025CanFeaturesURL,FT054,2-s2.0-85218426688,Scopus; Scopus-expanded,10.1145/3704522.3704532,doi_recorded,2024,Can Features for Phishing URL Detection Be Trusted Across Diverse Datasets? A Case Study with Explainable AI,url/website,SHAP,classical ML; boosted trees,robustness/failure analysis,model inspection,no,none/rhetorical,"Feature trust is studied technically, not through human trust.",none,No runtime or deployment measurement.,artifact,public benchmark,cross-dataset/external,high,Strong external-validity critique; does not establish operational or human-facing trust.,low,Feature-stability/cross-dataset anchor.
S012,Pragna2025ComprehensiveAnalysisApproaches,FT056,2-s2.0-105008421711,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ic3ecsbhi63591.2025.10990503,doi_recorded,2025,Comprehensive Analysis of Machine Learning Approaches for Phishing Website Detection,website,SHAP; LIME,classical ML; boosted trees; ensemble/AutoML,local decision rationale,model inspection,no,none/rhetorical,Explanation outputs are illustrative and not human-validated.,none,Operational utility is future work.,artifact,public benchmark,single dataset,moderate,Single upscaled benchmark and flat model performance limit generalization claims.,moderate,Broad comparative ML + SHAP/LIME paper.
S046,Bhavana2025ContextAwareEmailHybrid,FT057,2-s2.0-105032181494,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ic366947.2025.11290431,doi_recorded,2025,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,email,SHAP; LIME; attention/transformer visualization; BERTViz,classical ML; deep learning; transformer/LLM,local decision rationale,model inspection,no,none/rhetorical,Interpretability is not linked to measured trust or analyst decisions.,runtime/resource,Training time and memory/resource usage are reported.,artifact,public benchmark,single dataset,moderate,Spam-phishing label impurity and no human validation limit claim strength.,high,Email context-aware XAI with label-purity caveat.
S042,Almakhamreh2026CrossPhireBenefitingMultimodality,FT058,2-s2.0-105028725588,Scopus; Scopus-expanded; Web of Science,10.3390/app16020751,doi_recorded,2026,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,multimodal,LIME; hierarchical modality ablation,deep learning; hybrid ML/DL; transformer/LLM; CNN,local decision rationale,robustness/failure analysis,no,none/rhetorical,Trust claims remain rhetorical.,runtime/resource,"Reports inference time, pipeline time, throughput, model size, cross-dataset and zero-day performance.",artifact,mixed public/custom,temporal/zero-day,high,"Strong generalization and runtime evidence, but no live browser-user or analyst outcome study.",low,Multimodal CrossPhire evidence anchor.
S039,BustioMartinez2026EnhancedMultimodalData,FT062,2-s2.0-105025197280,Scopus; Scopus-expanded; Web of Science,10.1016/j.knosys.2025.115105,doi_recorded,2026,Enhanced phishing detection using multimodal data,email,SHAP,classical ML; random forest,local decision rationale,operational interface support,no,explicit human/user/analyst evaluation,User survey measures preferences/intentions for explanation and cues.,none,No runtime or deployment evidence.,human interpretation,public benchmark,single dataset,moderate,User preference evidence does not prove field behavior or click avoidance.,moderate,Human-centered multimodal email/message case.
S057,Datto2025EnhancedPayloadFineTuned,FT063,2-s2.0-105034150406,Scopus; IEEE Xplore; Scopus-expanded,10.1109/tencon66050.2025.11374958,doi_recorded,2025,Enhanced Phishing Payload Detection Using Fine-Tuned DistilBERT and XAI-Based NLP Models,email,SHAP; LIME,classical ML; deep learning; transformer/LLM,robustness/failure analysis,local decision rationale,no,none/rhetorical,No human or analyst validation of token explanations.,none,No latency or deployment test.,artifact,public benchmark,single dataset,moderate,Adversarial robustness is controlled and single-dataset; deployment/trust remain prospective.,moderate,DistilBERT payload + XAI robustness case.
S035,Pavani2024EnhancingOnlineSafety,FT064,2-s2.0-85212869098,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icccnt61001.2024.10723976,doi_recorded,2024,Enhancing Online Safety: Phishing URL Detection Using Machine Learning and Explainable AI,url/website,SHAP; LIME,classical ML; ensemble/AutoML,local decision rationale,model inspection,no,none/rhetorical,SHAP/LIME agreement is not human-validated.,none,Deployment is proposed rather than implemented or timed.,artifact,public benchmark,single dataset,moderate,Balanced single benchmark does not support operational or trust claims.,moderate,RF SHAP/LIME website benchmark.
S018,Budiman2026EnhancingXGBoostPerformance,FT065,2-s2.0-105034763804,Scopus; Scopus-expanded,10.35335/ijobas.v14i4.771,doi_recorded,2026,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,website,SHAP,classical ML; boosted trees; optimization-assisted ML,model inspection,,no,none/rhetorical,No explanation-fidelity or human-utility validation.,none,Computational efficiency and deployment are future work.,artifact,public benchmark,single dataset,moderate,PSO optimization and single UCI benchmark limit generalization and operational claims.,moderate,Budiman PSO+XGBoost+SHAP paper.
S014,Varsha2025ExplainableTechniquesChallenges,FT066,2-s2.0-105032735595,Scopus; IEEE Xplore; Scopus-expanded,10.1109/raics66191.2025.11332593,doi_recorded,2025,"Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation",url/website,SHAP; LIME,classical ML,robustness/failure analysis,local decision rationale,no,none/rhetorical,Analyst usefulness is asserted but not measured.,none,Adversarial robustness is simulated; no deployment/runtime evidence.,artifact,public benchmark,single dataset,moderate,Simulated robustness should not be treated as operational deployment evidence.,moderate,Adversarial robustness + SHAP/LIME paper.
S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,FT069,2-s2.0-105030075493,Scopus; IEEE Xplore; Scopus-expanded,10.1109/discover66922.2025.11258928,doi_recorded,2025,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,visual,LIME,deep learning; CNN,local decision rationale,robustness/failure analysis,no,none/rhetorical,LIME overlays are not validated with users/analysts.,runtime/resource,Inference latency and parameter count are reported.,artifact,mixed public/custom,single dataset,moderate,Single-system latency and small adversarial sample limit operational generalization.,moderate,Visual phishing CNN + LIME paper.
S022,Palavali2025ExplainableEnsembleDetecting,FT070,2-s2.0-105034839755,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iceca66444.2025.11382884,doi_recorded,2025,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,url,SHAP; LIME; IGAM,boosted trees; ensemble/AutoML; deep learning; hybrid ML/DL,model inspection,local decision rationale,no,automated proxy,Explainability score is technical/internal and not a human trust measure.,runtime/resource,Inference time per sample is reported.,artifact,public benchmark,single dataset,moderate,Internal manuscript inconsistency and unclear explainability score increase evidence risk.,high,Use cautiously despite latency evidence.
