study_id,citation_key,year,title,xai_methods,global_scope_present,local_scope_present,explanation_scope_category,scope_evidence_basis,xai_changes_model_or_features,reliability_outcome_type,reliability_comparator_present,reliability_effect_direction,reliability_evidence_level,reliability_evidence_basis,coding_notes
S011,Liu2023KnowledgeExpansionCounterfactual,2023,Knowledge Expansion and Counterfactual Interaction for Reference-Based Phishing Detection,counterfactual explanation; domain-brand inconsistency explanation,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S012,Pragna2025ComprehensiveAnalysisApproaches,2025,Comprehensive Analysis of Machine Learning Approaches for Phishing Website Detection,LIME; SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S013,Yadav2026LeveragingLargeLanguage,2026,Leveraging Large Language Models for Enhanced URL Phishing Detection,SHAP; LLM natural-language explanation,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S014,Varsha2025ExplainableTechniquesChallenges,2025,"Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation",SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S015,Arthy2025HybridApproachSecuring,2025,A Hybrid Machine Learning Approach for Securing Emails:Phishing Detection and Prevention,LIME; SHAP,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S016,Sivasankar2025PracticalAddressingChallenges,2025,Towards Practical Phishing Detection: Addressing Challenges with Hybrid Machine Learning Architectures,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S017,Matole2026SHAPDrivenFeatureSelection,2026,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",yes,predictive_performance_across_shap_feature_counts,yes,dataset_dependent_marginal_gain_or_retention,direct_feature_count_comparison,"On ISCX, 40 of 80 SHAP-ranked features slightly outperform all 80 in F1 (0.9871 vs 0.9861); on UCI, performance increases through the full 30-feature set, so the reliability effect is not consistently positive across datasets.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
S018,Budiman2026EnhancingXGBoostPerformance,2026,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S019,Tashtoush2024ExploringLowlevelStatistical,2024,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,yes,feature_count_and_training_time,yes_limited,not_established_for_reliability,efficiency_and_feature_count_evidence,"SHAP/LIME-guided feature reduction decreases feature count and training time, but the extraction record does not support a general improvement in predictive generalization, calibration, robustness, or stability.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
S020,Melisa2025ExplainableHybridDeep,2025,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S021,Puri2022ApplicationEnsembleWeb,2022,Application of ensemble Machine Learning models for phishing detection on web networks,SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S022,Palavali2025ExplainableEnsembleDetecting,2025,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,SHAP; LIME; IGAM,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S023,Ahmed2026IntelligentEmailSystem,2026,An intelligent phishing email detection system using ensemble methods and explainable AI,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",yes,error_reduction_auc_generalization_and_inference_time,yes,positive,direct_explanation_guided_refinement_comparison,"LIME-guided error analysis identifies a misclassification driver, motivates feature revision and retraining, and is reported to reduce false negatives, improve AUC on unseen temporal data, and lower inference time.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
S025,Alotaibi2025ExplainableArtificialIntelligence,2025,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S026,Uddin2026ExplainableTransformerbasedEmail,2026,An explainable transformer-based model for phishing email detection: A large language model approach,LIME; transformer attribution / Transformer Interpret,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S027,Bharath2025TrimodelEnsembleApproach,2025,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S029,Jovanovic2023ImprovingWebsiteHybrid,2023,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S030,Mia2025CanFeaturesURL,2024,Can Features for Phishing URL Detection Be Trusted Across Diverse Datasets? A Case Study with Explainable AI,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S031,Weamie2025ExplainableWebsiteEnhancing,2025,Explainable Machine Learning Models for Phishing Website Detection: Enhancing Transparency and Accuracy in Cybersecurity,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S032,Tallapally2025ExplainableDeepEmail,2025,Explainable Deep Learning Models for Phishing Email Detection,LIME; SHAP; attention visualization; Grad-CAM,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S033,Hernandes2021URLbasedTechniques,2021,Phishing Detection Using URL-based XAI Techniques,LIME; Explainable Boosting Machine,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S034,Kumar2026IPDMIntelligentECommerce,2026,IPDM: An Intelligent Phishing Detection Model for E-Commerce Websites,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S035,Pavani2024EnhancingOnlineSafety,2024,Enhancing Online Safety: Phishing URL Detection Using Machine Learning and Explainable AI,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S036,Nti2026SynergisticIntrusionIntegrating,2026,Synergistic Phishing Intrusion Detection: Integrating Behavioral and Structural Indicators with Hybrid Ensembles and XAI Validation,SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S037,Nauman2025TransparentTrustworthyCyberSecurity,2025,Transparent and trustworthy CyberSecurity: an XAI-integrated big data framework for phishing attack detection,LIME; SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S038,Lim2025VeriPhishBridgingExplainability,2025,VeriPhish: Bridging AI Explainability and Accuracy in Phishing Detection Through XAI and LLMs,LIME; SHAP; LLM natural-language explanation,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S039,BustioMartinez2026EnhancedMultimodalData,2026,Enhanced phishing detection using multimodal data,SHAP,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S040,Mayo2026TemporallyDynamicFeatureExtraction,2026,A Temporally Dynamic Feature-Extraction Framework for Phishing Detection with LIME and SHAP Explanations,SHAP; LIME,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S041,Kehkashan2025ExplainableWebsiteSecure,2025,Explainable phishing website detection for secure and sustainable cyber infrastructure,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",yes,predictive_performance_ablation,yes,positive_with_internal_baseline_inconsistency,direct_ablation_with_caution,"The paper reports RF accuracy increasing from 90.0% without SHAP to 97.0% after SHAP-based top-15 feature refinement, with similar gains for other models; another comparison table lists a 96.25% RF baseline, so the effect magnitude is internally inconsistent.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
S042,Almakhamreh2026CrossPhireBenefitingMultimodality,2026,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,LIME; hierarchical modality ablation explanation,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S043,Dhanavanthini2025HarnessingGreyWolf,2025,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,SHAP; Grey Wolf Optimization feature selection,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S044,Alorvor2025RealTimeBrandProtection,2025,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,SHAP; attention visualization,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S045,Tawfik2025ExplainableFewshotModern,2025,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,SHAP; LIME; attention visualization; counterfactual explanation,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S046,Bhavana2025ContextAwareEmailHybrid,2025,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,LIME; SHAP; BERTViz,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S047,Aldoufani2025IntelligentSystemDeep,2025,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S048,Mahmood2025IntelligentCyberDefense,2025,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S049,Lakshmi2026LightPhishAILightweightMultimodal,2026,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,Grad-CAM; SHAP; LIME; attention-based modality attribution,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,2025,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S051,Lad2025AIEnabledLinks,2025,AI-Enabled Phishing Links Detection Using Machine Learning Models,LIME,no,yes,local_only,"Full-text extraction/recheck documents an explanation for an individual prediction, URL, email, message, screenshot, token/region, or counterfactual case; no explicit aggregate model-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S052,Upreti2025AQUAPHISHLeveragingMetaheuristics,2025,AQUAPHISH: Leveraging Metaheuristics and Automated Machine Learning for Precision Phishing Detection,SHAP,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S053,Gurjar2021WebSecAsstChromeExtension,2021,WebSecAsst - A Machine Learning based Chrome Extension,SHAP,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S054,Liang2025WebsiteConstructionImproved,2025,Phishing Website Detection Model Construction Based on Improved IHHO-RF-SHAP Algorithm,SHAP; IHHO hyperparameter optimization,yes,no,global_only,"Full-text extraction/recheck documents aggregate/model-level feature importance, ranking, summary, or cross-sample explanation; no explicit instance-level explanation was coded.",no,not_applicable_posthoc_only,no,not_applicable,none_for_causal_reliability,"The explanation is used after model training for interpretation, interface support, or failure analysis and is not coded as changing the predictive model or feature set.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer."
S055,Naseer2025ExplainableTabNetEnsemble,2025,Explainable TabNet ensemble model for identification of obfuscated URLs with features selection to ensure secure web browsing,LIME; TabNet attention feature importance,yes,yes,both,Full-text extraction/recheck documents both aggregate or model-level explanation and instance- or artifact-level explanation.,yes,predictive_performance_with_attention_feature_selection,limited_not_xai_isolated,positive_system_performance_not_isolated_to_xai,confounded_comparative_evidence,"The TabNet-attention-selected feature set plus stacking ensemble reaches 97.8% accuracy and includes ablation/comparison evidence, but the contribution of explanation-guided feature selection is not isolated from the ensemble architecture.","Explanation scope was coded from actual reported use, not from the theoretical capability of the named explainer. Reliability coding is limited to outcomes plausibly attributable to explanation-guided model or feature refinement."
