study_id,citation_key,screening_record_id,year,title,reliability_sample,explanation_role_primary__coding_pass_1,explanation_role_primary__coding_pass_2,explanation_role_primary__agreement,explanation_role_primary__final_label,explanation_role_primary__source_review_required,explanation_role_primary__resolution_basis,mixed_purpose_xai__coding_pass_1,mixed_purpose_xai__coding_pass_2,mixed_purpose_xai__agreement,mixed_purpose_xai__final_label,mixed_purpose_xai__source_review_required,mixed_purpose_xai__resolution_basis,trust_evidence_level__coding_pass_1,trust_evidence_level__coding_pass_2,trust_evidence_level__agreement,trust_evidence_level__final_label,trust_evidence_level__source_review_required,trust_evidence_level__resolution_basis,operational_evidence_level__coding_pass_1,operational_evidence_level__coding_pass_2,operational_evidence_level__agreement,operational_evidence_level__final_label,operational_evidence_level__source_review_required,operational_evidence_level__resolution_basis,validation_gate_reached__coding_pass_1,validation_gate_reached__coding_pass_2,validation_gate_reached__agreement,validation_gate_reached__final_label,validation_gate_reached__source_review_required,validation_gate_reached__resolution_basis,reproducibility_level__coding_pass_1,reproducibility_level__coding_pass_2,reproducibility_level__agreement,reproducibility_level__final_label,reproducibility_level__source_review_required,reproducibility_level__resolution_basis,claim_risk__coding_pass_1,claim_risk__coding_pass_2,claim_risk__agreement,claim_risk__final_label,claim_risk__source_review_required,claim_risk__resolution_basis
S011,Liu2023KnowledgeExpansionCounterfactual,FT009,2023,Knowledge Expansion and Counterfactual Interaction for Reference-Based Phishing Detection,calibration,model inspection,model inspection,yes,robustness/failure analysis,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,high,yes,full-text adjudication under the S5 codebook,moderate,low,no,low,yes,full-text adjudication under the S5 codebook
S012,Pragna2025ComprehensiveAnalysisApproaches,FT056,2025,Comprehensive Analysis of Machine Learning Approaches for Phishing Website Detection,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S013,Yadav2026LeveragingLargeLanguage,FT078,2026,Leveraging Large Language Models for Enhanced URL Phishing Detection,holdout,local decision rationale,local decision rationale,yes,local decision rationale,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,low,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S014,Varsha2025ExplainableTechniquesChallenges,FT066,2025,"Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation",holdout,local decision rationale,local decision rationale,yes,robustness/failure analysis,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S015,Arthy2025HybridApproachSecuring,FT038,2025,A Hybrid Machine Learning Approach for Securing Emails:Phishing Detection and Prevention,holdout,model inspection,model inspection,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,low,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,high,yes,full-text adjudication under the S5 codebook
S016,Sivasankar2025PracticalAddressingChallenges,FT090,2025,Towards Practical Phishing Detection: Addressing Challenges with Hybrid Machine Learning Architectures,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,low,no,agreement between coding passes,low,moderate,no,high,yes,full-text adjudication under the S5 codebook
S017,Matole2026SHAPDrivenFeatureSelection,FT087,2026,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,holdout,explanation-informed modeling,explanation-informed modeling,yes,explanation-informed modeling,no,agreement between coding passes,yes-feature-selection,yes-feature-selection,yes,yes-feature-selection,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S018,Budiman2026EnhancingXGBoostPerformance,FT065,2026,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,yes-optimization,yes-optimization,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S019,Tashtoush2024ExploringLowlevelStatistical,FT072,2024,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,holdout,local decision rationale,local decision rationale,yes,explanation-informed modeling,yes,full-text adjudication under the S5 codebook,no,no,yes,yes-model-simplification,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S020,Melisa2025ExplainableHybridDeep,FT047,2025,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,yes-multiple,yes-multiple,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,runtime/resource,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,high,high,yes,moderate,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,high,yes,full-text adjudication under the S5 codebook
S021,Puri2022ApplicationEnsembleWeb,FT050,2022,Application of ensemble Machine Learning models for phishing detection on web networks,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S022,Palavali2025ExplainableEnsembleDetecting,FT070,2025,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,holdout,local decision rationale,local decision rationale,yes,model inspection,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,automated proxy,yes,full-text adjudication under the S5 codebook,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,high,yes,full-text adjudication under the S5 codebook
S023,Ahmed2026IntelligentEmailSystem,FT049,2026,An intelligent phishing email detection system using ensemble methods and explainable AI,holdout,model inspection,model inspection,yes,robustness/failure analysis,yes,full-text adjudication under the S5 codebook,no,no,yes,yes-feature-selection,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,low,yes,full-text adjudication under the S5 codebook
S025,Alotaibi2025ExplainableArtificialIntelligence,FT024,2025,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,yes-multiple,yes-optimization,no,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S026,Uddin2026ExplainableTransformerbasedEmail,FT015,2026,An explainable transformer-based model for phishing email detection: A large language model approach,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S027,Bharath2025TrimodelEnsembleApproach,FT022,2025,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,holdout,local decision rationale,local decision rationale,yes,local decision rationale,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,high,no,moderate,yes,full-text adjudication under the S5 codebook
S029,Jovanovic2023ImprovingWebsiteHybrid,FT076,2023,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,yes-multiple,no,no,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S030,Mia2025CanFeaturesURL,FT054,2024,Can Features for Phishing URL Detection Be Trusted Across Diverse Datasets? A Case Study with Explainable AI,calibration,robustness/failure analysis,robustness/failure analysis,yes,robustness/failure analysis,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,high,high,yes,high,no,agreement between coding passes,low,moderate,no,low,yes,full-text adjudication under the S5 codebook
S031,Weamie2025ExplainableWebsiteEnhancing,FT071,2025,Explainable Machine Learning Models for Phishing Website Detection: Enhancing Transparency and Accuracy in Cybersecurity,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,runtime/resource,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes
S032,Tallapally2025ExplainableDeepEmail,FT018,2025,Explainable Deep Learning Models for Phishing Email Detection,holdout,operational interface support,operational interface support,yes,operational interface support,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,automated proxy,automated proxy,yes,none/rhetorical,yes,full-text adjudication under the S5 codebook,none,none,yes,prototype/interface,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,interface,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S033,Hernandes2021URLbasedTechniques,FT025,2021,Phishing Detection Using URL-based XAI Techniques,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes
S034,Kumar2026IPDMIntelligentECommerce,FT077,2026,IPDM: An Intelligent Phishing Detection Model for E-Commerce Websites,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,prototype/interface,prototype/interface,yes,runtime/resource,yes,full-text adjudication under the S5 codebook,interface,interface,yes,artifact,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S035,Pavani2024EnhancingOnlineSafety,FT064,2024,Enhancing Online Safety: Phishing URL Detection Using Machine Learning and Explainable AI,holdout,local decision rationale,local decision rationale,yes,local decision rationale,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S036,Nti2026SynergisticIntrusionIntegrating,FT089,2026,Synergistic Phishing Intrusion Detection: Integrating Behavioral and Structural Indicators with Hybrid Ensembles and XAI Validation,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,moderate,no,agreement between coding passes
S037,Nauman2025TransparentTrustworthyCyberSecurity,FT032,2025,Transparent and trustworthy CyberSecurity: an XAI-integrated big data framework for phishing attack detection,holdout,local decision rationale,local decision rationale,yes,model inspection,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,low,moderate,no,moderate,yes,full-text adjudication under the S5 codebook
S038,Lim2025VeriPhishBridgingExplainability,FT012,2025,VeriPhish: Bridging AI Explainability and Accuracy in Phishing Detection Through XAI and LLMs,calibration,local decision rationale,local decision rationale,yes,operational interface support,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,automated proxy,automated proxy,yes,automated proxy,no,agreement between coding passes,prototype/interface,prototype/interface,yes,prototype/interface,no,agreement between coding passes,interface,interface,yes,interface,no,agreement between coding passes,high,high,yes,moderate,yes,full-text adjudication under the S5 codebook,moderate,low,no,moderate,yes,full-text adjudication under the S5 codebook
S039,BustioMartinez2026EnhancedMultimodalData,FT062,2026,Enhanced phishing detection using multimodal data,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,explicit human/user/analyst evaluation,no,explicit human/user/analyst evaluation,yes,full-text adjudication under the S5 codebook,runtime/resource,runtime/resource,yes,none,yes,full-text adjudication under the S5 codebook,artifact,human interpretation,no,human interpretation,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S040,Mayo2026TemporallyDynamicFeatureExtraction,FT040,2026,A Temporally Dynamic Feature-Extraction Framework for Phishing Detection with LIME and SHAP Explanations,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,high,high,yes,high,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S041,Kehkashan2025ExplainableWebsiteSecure,FT031,2025,Explainable phishing website detection for secure and sustainable cyber infrastructure,holdout,model inspection,model inspection,yes,explanation-informed modeling,yes,full-text adjudication under the S5 codebook,yes-feature-selection,yes-feature-selection,yes,yes-feature-selection,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,none,none,yes,none,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes,moderate,moderate,yes,moderate,no,agreement between coding passes
S042,Almakhamreh2026CrossPhireBenefitingMultimodality,FT058,2026,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,calibration,local decision rationale,local decision rationale,yes,local decision rationale,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,moderate,no,high,yes,full-text adjudication under the S5 codebook,low,low,yes,low,no,agreement between coding passes
S043,Dhanavanthini2025HarnessingGreyWolf,FT073,2025,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,holdout,explanation-informed modeling,explanation-informed modeling,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,yes-multiple,yes-multiple,yes,no,yes,full-text adjudication under the S5 codebook,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,prototype/interface,prototype/interface,yes,none,yes,full-text adjudication under the S5 codebook,interface,interface,yes,artifact,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,unclear,yes,full-text adjudication under the S5 codebook,low,moderate,no,high,yes,full-text adjudication under the S5 codebook
S044,Alorvor2025RealTimeBrandProtection,FT026,2025,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,holdout,model inspection,model inspection,yes,model inspection,no,agreement between coding passes,no,no,yes,no,no,agreement between coding passes,automated proxy,automated proxy,yes,automated proxy,no,agreement between coding passes,prototype/interface,prototype/interface,yes,prototype/interface,no,agreement between coding passes,interface,interface,yes,interface,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook
S045,Tawfik2025ExplainableFewshotModern,FT013,2025,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,calibration,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,explicit human/user/analyst evaluation,explicit human/user/analyst evaluation,yes,explicit human/user/analyst evaluation,no,agreement between coding passes,runtime/resource,runtime/resource,yes,field setting,yes,full-text adjudication under the S5 codebook,human interpretation,human interpretation,yes,human interpretation,no,agreement between coding passes,high,high,yes,high,no,agreement between coding passes,moderate,moderate,yes,low,yes,full-text adjudication under the S5 codebook
S046,Bhavana2025ContextAwareEmailHybrid,FT057,2025,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,holdout,model inspection,model inspection,yes,local decision rationale,yes,full-text adjudication under the S5 codebook,no,no,yes,no,no,agreement between coding passes,none/rhetorical,none/rhetorical,yes,none/rhetorical,no,agreement between coding passes,runtime/resource,runtime/resource,yes,runtime/resource,no,agreement between coding passes,artifact,artifact,yes,artifact,no,agreement between coding passes,low,low,yes,moderate,yes,full-text adjudication under the S5 codebook,moderate,moderate,yes,high,yes,full-text adjudication under the S5 codebook
