study_id,citation_key,screening_record_id,source_record_id,sources,doi,doi_status,year,title,baseline_summary,classical_ml,boosted_ensemble,deep_transformer_llm,optimization_metaheuristic,ablation_feature_fusion,external_literature,operational_service,baseline_richness,comparability_caution
S013,Yadav2026LeveragingLargeLanguage,FT078,2-s2.0-105028163376,Scopus; Scopus-expanded,10.1007/978-3-032-12983-3_46,doi_recorded,2026,Leveraging Large Language Models for Enhanced URL Phishing Detection,"CatBoost, XGBoost, LightGBM, Logistic Regression, Mistral-7B, Mixtral-8x7B and a logistic-regression meta-classifier combining CatBoost and LLM outputs; compared with recent...",yes,yes,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S014,Varsha2025ExplainableTechniquesChallenges,FT066,2-s2.0-105032735595,Scopus; IEEE Xplore; Scopus-expanded,10.1109/raics66191.2025.11332593,doi_recorded,2025,"Explainable AI For Phishing Detection: Techniques, Challenges, and Experimental Validation",Decision Tree classifier with PGD-inspired adversarial perturbation testing; related work compares with stacked ensembles and other phishing models but the implemented detector...,yes,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S015,Arthy2025HybridApproachSecuring,FT038,2-s2.0-105008281606,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icaeca63854.2025.11012305,doi_recorded,2025,A Hybrid Machine Learning Approach for Securing Emails:Phishing Detection and Prevention,"Hybrid model compared conceptually with static and non-contextual email-filtering approaches; architecture combines neuro-symbolic reasoning, dynamic contextual analysis,...",no,no,yes,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S016,Sivasankar2025PracticalAddressingChallenges,FT090,2-s2.0-105012195771,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccrtee64519.2025.11053024,doi_recorded,2025,Towards Practical Phishing Detection: Addressing Challenges with Hybrid Machine Learning Architectures,"Random Forest, SVM and Logistic Regression compared against a hybrid XGBoost plus deep neural network model.",yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S017,Matole2026SHAPDrivenFeatureSelection,FT087,2-s2.0-105028271007,Scopus; Scopus-expanded,10.1007/978-3-032-10670-4_28,doi_recorded,2026,SHAP-Driven Feature Selection with Meta-ensemble Classifiers for Efficient Phishing URL Detection,"Initial XGBoost for SHAP ranking; meta-ensemble base classifiers SVM, Random Forest and XGBoost with Logistic Regression meta-classifier; compared with XGBoost+TreeSHAP and...",yes,yes,no,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S018,Budiman2026EnhancingXGBoostPerformance,FT065,2-s2.0-105034763804,Scopus; Scopus-expanded,10.35335/ijobas.v14i4.771,doi_recorded,2026,Enhancing XGBoost performance for classification tasks using particle swarm optimization and SHAP-based model interpretability,"Random Forest, RBF-SVM, default XGBoost and PSO-optimized XGBoost. PSO uses 30 particles and 50 iterations to tune n_estimators, max_depth, learning_rate, subsample and...",yes,yes,no,yes,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S019,Tashtoush2024ExploringLowlevelStatistical,FT072,2-s2.0-85197388361,Scopus; Scopus-expanded; Web of Science,10.1007/s10586-024-04655-5,doi_recorded,2024,Exploring low-level statistical features of n-grams in phishing URLs: a comparative analysis with high-level features,"Logistic Regression, Decision Tree, Random Forest, XGBoost, LightGBM, Gradient Boosting, AdaBoost, Naive Bayes, CNN, BiLSTM, TF-IDF+XGBoost and TF-IDF combinations with CNN/BiLSTM.",yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S020,Melisa2025ExplainableHybridDeep,FT047,2-s2.0-105015888521,Scopus; Scopus-expanded; Web of Science,10.1016/j.asej.2025.103745,doi_recorded,2025,An explainable hybrid deep learning-optimization framework for robust phishing attack detection using GAN and transformer-based feature learning,"GAN with DPCA augmentation, CNN, GRU, FMRCNN and Transformer feature learning, ANOVA/BKA/Spearman feature selection and SVM classifier; compared against existing phishing...",yes,no,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S021,Puri2022ApplicationEnsembleWeb,FT050,2-s2.0-85141678140,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ccict56684.2022.00062,doi_recorded,2022,Application of ensemble Machine Learning models for phishing detection on web networks,"Random Forest, Decision Tree, CatBoost, XGBoost, LightGBM, AdaBoost, voting ensemble and K-nearest/K-means style baseline.",yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S022,Palavali2025ExplainableEnsembleDetecting,FT070,2-s2.0-105034839755,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iceca66444.2025.11382884,doi_recorded,2025,Explainable Ensemble Learning for Detecting Phishing URLs using Lightweight Cyber Threat Intelligence,"Random Forest, CNN-only, LightGBM, Explainable Boosting Machine, Logistic Rule Regression and the proposed dual-branch X-URLIntelNet with character CNN, CTI-attention MLP,...",yes,yes,yes,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S023,Ahmed2026IntelligentEmailSystem,FT049,2-s2.0-105028851885,Scopus; Scopus-expanded; Web of Science,10.1016/j.knosys.2026.115388,doi_recorded,2026,An intelligent phishing email detection system using ensemble methods and explainable AI,"Soft and hard voting ensembles: SV1 MLP+DT, SV2 DT+RF, SV3 XGBoost+RF, HV1 MLP+DT, HV2 DT+RF and HV3 XGBoost+RF; 5-fold stratified CV and grid search are used.",yes,yes,yes,yes,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S025,Alotaibi2025ExplainableArtificialIntelligence,FT024,2-s2.0-85206260772,Scopus; Scopus-expanded; Web of Science,10.1016/j.aej.2024.09.115,doi_recorded,2025,Explainable artificial intelligence in web phishing classification on secure IoT with cloud-based cyber-physical systems,BDT; Decision Forest/DT; LSTM-CNN; Logistic Regression; EAFS-RF; BHPO-MLPAD; DNN.,yes,no,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S026,Uddin2026ExplainableTransformerbasedEmail,FT015,2-s2.0-105028913015,Scopus; Scopus-expanded; Web of Science,10.1016/j.comnet.2026.112061,doi_recorded,2026,An explainable transformer-based model for phishing email detection: A large language model approach,prior phishing email studies in comparison table; DistilBERT balanced vs imbalanced training modes,no,no,yes,no,yes,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S027,Bharath2025TrimodelEnsembleApproach,FT022,2-s2.0-105012487792,Scopus; Scopus-expanded,10.1007/978-981-96-4430-8_29,doi_recorded,2025,A Tri-model Ensemble Approach for Phishing URL Detection Using Explainable AI and Hyperparameter Tuning Techniques,Random Forest; Logistic Regression; Decision Tree; Naive Bayes; Gradient Boosting; AdaBoost; XGBoost; CatBoost; tuned XGBoost/AdaBoost/RF.,yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S029,Jovanovic2023ImprovingWebsiteHybrid,FT076,2-s2.0-85167715224,Scopus; IEEE Xplore; Scopus-expanded; Web of Science,10.13052/jwe1540-9589.2237,doi_recorded,2023,Improving Phishing Website Detection Using a Hybrid Two-level Framework for Feature Selection and XGBoost Tuning,"XGBoost tuned by Diversity-Oriented Firefly Algorithm compared with original Firefly Algorithm, Bat Algorithm, Artificial Bee Colony, Harris Hawks Optimization, Sine Cosine...",no,yes,no,yes,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S030,Mia2025CanFeaturesURL,FT054,2-s2.0-85218426688,Scopus; Scopus-expanded,10.1145/3704522.3704532,doi_recorded,2024,Can Features for Phishing URL Detection Be Trusted Across Diverse Datasets? A Case Study with Explainable AI,"Logistic Regression, Decision Tree, Random Forest, Naive Bayes, Gradient Boosting Machine, XGBoost, Explainable Boosting Machine and SVM.",yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S031,Weamie2025ExplainableWebsiteEnhancing,FT071,2-s2.0-105012471800,Scopus; Scopus-expanded,10.1007/978-981-96-9872-1_27,doi_recorded,2025,Explainable Machine Learning Models for Phishing Website Detection: Enhancing Transparency and Accuracy in Cybersecurity,"LR, KNN, SVM, NB, DT, RF, Gradient Boosting, XGBoost, CatBoost, MLP, and autoencoder.",yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S032,Tallapally2025ExplainableDeepEmail,FT018,2-s2.0-105032729605,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icscn67106.2025.11308654,doi_recorded,2025,Explainable Deep Learning Models for Phishing Email Detection,Naive Bayes; Random Forest; SVM; CNN; LSTM; BERT Transformer; proposed CNN+LSTM+BERT ensemble with XAI,yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S033,Hernandes2021URLbasedTechniques,FT025,2-s2.0-85125777751,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ssci50451.2021.9659981,doi_recorded,2021,Phishing Detection Using URL-based XAI Techniques,Random Forest; SVM; Explainable Boosting Machine (EBM).,yes,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S034,Kumar2026IPDMIntelligentECommerce,FT077,2-s2.0-105023312995,Scopus; Scopus-expanded,10.1007/978-3-032-07735-6_26,doi_recorded,2026,IPDM: An Intelligent Phishing Detection Model for E-Commerce Websites,"ANN, RNN, KNN, and CNN variants compared under the IPDM framework.",yes,no,yes,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S035,Pavani2024EnhancingOnlineSafety,FT064,2-s2.0-85212869098,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icccnt61001.2024.10723976,doi_recorded,2024,Enhancing Online Safety: Phishing URL Detection Using Machine Learning and Explainable AI,"Ten machine-learning classifiers are compared, with Random Forest selected for SHAP/LIME explanation and SVM reported as the lowest-performing baseline.",yes,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S036,Nti2026SynergisticIntrusionIntegrating,FT089,2-s2.0-105029086005,Scopus; Scopus-expanded; Web of Science,10.3390/fi18010030,doi_recorded,2026,Synergistic Phishing Intrusion Detection: Integrating Behavioral and Structural Indicators with Hybrid Ensembles and XAI Validation,"RF, XGBoost, Gradient Boosting, LR, voting ensemble, stacking ensemble, PCA, and KMeans-enhanced variants.",yes,yes,no,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S037,Nauman2025TransparentTrustworthyCyberSecurity,FT032,2-s2.0-105026364473,Scopus; Scopus-expanded; Web of Science,10.3389/fdata.2025.1688091,doi_recorded,2025,Transparent and trustworthy CyberSecurity: an XAI-integrated big data framework for phishing attack detection,"Gradient Boosting Machine, Random Forest, Multilayer Perceptron, Naive Bayes and SVM across the four URL corpora.",yes,yes,no,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S038,Lim2025VeriPhishBridgingExplainability,FT012,2-s2.0-105031362668,Scopus; IEEE Xplore; Scopus-expanded,10.1109/iccst63435.2025.11295116,doi_recorded,2025,VeriPhish: Bridging AI Explainability and Accuracy in Phishing Detection Through XAI and LLMs,standard TF-IDF baseline model; enhanced domain-specific logistic regression model; comparison to existing deep-learning methods in narrative,yes,no,no,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S039,BustioMartinez2026EnhancedMultimodalData,FT062,2-s2.0-105025197280,Scopus; Scopus-expanded; Web of Science,10.1016/j.knosys.2025.115105,doi_recorded,2026,Enhanced phishing detection using multimodal data,"TF-IDF feature baseline and multiple classifier/feature-mode comparisons, with Random Forest selected as the main interpretable detector.",yes,no,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S040,Mayo2026TemporallyDynamicFeatureExtraction,FT040,2-s2.0-105031075167,Scopus; Scopus-expanded; Web of Science,10.3390/fi18020101,doi_recorded,2026,A Temporally Dynamic Feature-Extraction Framework for Phishing Detection with LIME and SHAP Explanations,Random Forest; XGBoost; MLP; Logistic Regression within-study comparison plus literature benchmarks against TF-IDF RF/SVM; DistilBERT; and hybrid methods,yes,yes,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S041,Kehkashan2025ExplainableWebsiteSecure,FT031,2-s2.0-105022940709,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27984-w,doi_recorded,2025,Explainable phishing website detection for secure and sustainable cyber infrastructure,SVM; KNN; decision tree; logistic regression; random forest without SHAP; literature comparators including CNN+LSTM; DNN; LightGBM; and quantized LLMs,yes,yes,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S042,Almakhamreh2026CrossPhireBenefitingMultimodality,FT058,2-s2.0-105028725588,Scopus; Scopus-expanded; Web of Science,10.3390/app16020751,doi_recorded,2026,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,"Unimodal and multimodal/ablation comparisons across URL, visual, and content channels; cross-dataset and zero-day evaluations are used as robustness baselines.",no,no,no,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S043,Dhanavanthini2025HarnessingGreyWolf,FT073,2-s2.0-105031429722,Scopus; IEEE Xplore; Scopus-expanded,10.1109/asiancon66527.2025.11281144,doi_recorded,2025,Harnessing Grey Wolf Optimization and SHAP X-AI for Robust and Scalable URL Phishing Detection,Traditional phishing URL methods and baseline models are discussed conceptually; the concrete implemented detector is CNN + BiLSTM with GWO-selected URL features.,no,no,yes,yes,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S044,Alorvor2025RealTimeBrandProtection,FT026,2-s2.0-105017434519,Scopus; Scopus-expanded; Web of Science,10.3390/electronics14183746,doi_recorded,2025,Real-Time Phishing Detection for Brand Protection Using Temporal Convolutional Network-Driven URL Sequence Modeling,CNN; BiLSTM; BERT/DistilBERT transformer baselines.,no,no,yes,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S045,Tawfik2025ExplainableFewshotModern,FT013,2-s2.0-105023534042,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-27500-0,doi_recorded,2025,Explainable few-shot learning with modern BERT for detecting emerging phishing attacks using XF PhishBERT,"traditional ML; ModernBERT text-only; PhiUSIIL; PMANet; TransURL; BERT-based baseline; ablations without ModernBERT, ensemble selection, MAML, prototypical network, and XAI",no,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S046,Bhavana2025ContextAwareEmailHybrid,FT057,2-s2.0-105032181494,Scopus; IEEE Xplore; Scopus-expanded,10.1109/ic366947.2025.11290431,doi_recorded,2025,Context-Aware Phishing Email Detection Using Hybrid Machine Learning and Explainable AI,"RF, Multinomial Naive Bayes, XGBoost, CNN, LSTM, CNN-LSTM, and DistilBERT.",yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S047,Aldoufani2025IntelligentSystemDeep,FT048,2-s2.0-105031377997,Scopus; IEEE Xplore; Scopus-expanded,10.1109/isncc66965.2025.11250409,doi_recorded,2025,An Intelligent Phishing Detection System Using Deep Learning and Explainable AI,Dual DistilBERT models for email and URL pipelines; deployment wrapper includes Flask backend and Chrome extension/web UI rather than broad baseline comparison.,no,no,yes,no,no,no,yes,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S048,Mahmood2025IntelligentCyberDefense,FT028,2-s2.0-105013263846,Scopus; Scopus-expanded,10.58346/jowua.2025.i2.036,doi_recorded,2025,Intelligent Cyber Defense: Utilizing Deep Learning for Robust Detection and Prevention of Phishing Websites,XGBoost; Extra Trees; Random Forest; Decision Tree; Gradient Boosting; SVM; MLP; hard voting; soft voting; stacking ensemble.,yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S049,Lakshmi2026LightPhishAILightweightMultimodal,FT019,2-s2.0-105034415140,Scopus; Scopus-expanded,10.14445/23488549/ijece-v13i3p120,doi_recorded,2026,LightPhishAI: A Lightweight Multimodal Feature Extraction and Fusion Framework for Real-Time Phishing Detection on IoT Devices,text-only TinyBERT/GRU; image-only MobileNetV2/CNN; metadata-only MLP; early fusion; late fusion; BERT-base+MobileNetV2; TinyBERT+MobileNetV2,no,no,yes,no,yes,no,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S050,Vishwajeeth2025ExplainableAdversariallyEvaluated,FT069,2-s2.0-105030075493,Scopus; IEEE Xplore; Scopus-expanded,10.1109/discover66922.2025.11258928,doi_recorded,2025,Explainable and Adversarially Evaluated CNN for Visual Phishing Detection,"Logistic Regression, Random Forest, Shallow CNN, and MobileNetV2; optional pipeline mentions Vision Transformer and ResNet as selectable models but table centers on MobileNetV2.",yes,no,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S051,Lad2025AIEnabledLinks,FT045,2-s2.0-105031132065,Scopus; IEEE Xplore; Scopus-expanded,10.1109/snpd65828.2025.11254422,doi_recorded,2025,AI-Enabled Phishing Links Detection Using Machine Learning Models,"Logistic Regression, Random Forest, Gradient Boosting, SVM and a heuristic rule-based detector.",yes,yes,no,no,no,no,yes,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S052,Upreti2025AQUAPHISHLeveragingMetaheuristics,FT002,2-s2.0-105012279379,Scopus; Scopus-expanded,10.38094/jastt61238,doi_recorded,2025,AQUAPHISH: Leveraging Metaheuristics and Automated Machine Learning for Precision Phishing Detection,PSO + Random Forest; GA + SVM; DNN + manual feature selection; H2O AutoML candidate GBM/XGBoost/deep learning/stacked ensemble models; prior literature comparators,yes,yes,yes,yes,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S053,Gurjar2021WebSecAsstChromeExtension,FT091,2-s2.0-85113807729,Scopus; IEEE Xplore; Scopus-expanded,10.1109/icces51350.2021.9488953,doi_recorded,2021,WebSecAsst - A Machine Learning based Chrome Extension,XGBoost final model compared with Random Forest and KNN variants; VirusTotal API is used for downloaded-file hash checks.,yes,yes,no,no,yes,no,yes,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S054,Liang2025WebsiteConstructionImproved,FT084,2-s2.0-105016998396,Scopus; IEEE Xplore; Scopus-expanded,10.1109/acctcs66275.2025.00142,doi_recorded,2025,Phishing Website Detection Model Construction Based on Improved IHHO-RF-SHAP Algorithm,HHO-RF baseline compared with IHHO-RF; base Random Forest optimized via IHHO.,yes,no,no,yes,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S055,Naseer2025ExplainableTabNetEnsemble,FT027,2-s2.0-105000280877,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-93286-w,doi_recorded,2025,Explainable TabNet ensemble model for identification of obfuscated URLs with features selection to ensure secure web browsing,RF; LR; SVM; stacking ensemble; gradient boosting; voting; recent URL-classification studies.,yes,yes,no,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S056,Akhtar2025MitigatingCyberThreats,FT029,2-s2.0-105018782845,Scopus; Scopus-expanded,10.21015/vtse.v13i2.2129,doi_recorded,2025,Mitigating Cyber Threats: Machine Learning and Explainable AI for Phishing Detection,XGBoost; LightGBM; Random Forest; KNN; Twin SVM; CNN; benchmarked against recent phishing URL methods.,yes,yes,yes,no,no,yes,no,comparative/ablation-rich,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S057,Datto2025EnhancedPayloadFineTuned,FT063,2-s2.0-105034150406,Scopus; IEEE Xplore; Scopus-expanded,10.1109/tencon66050.2025.11374958,doi_recorded,2025,Enhanced Phishing Payload Detection Using Fine-Tuned DistilBERT and XAI-Based NLP Models,"Random Forest, Logistic Regression, KNN, SVM, Gradient Boosting, AdaBoost, Naive Bayes, Decision Tree, and DistilBERT.",yes,yes,yes,no,no,no,no,multi-family in-study,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
S058,Reda2025HybridMLOpsFramework,FT030,2-s2.0-105020879330,Scopus; Scopus-expanded; Web of Science,10.1038/s41598-025-23600-z,doi_recorded,2025,Hybrid MLOps framework for automated lifecycle management of adaptive phishing detection models,Amazon SageMaker; Kubeflow+MLflow; PhishBench 2.0; underlying TensorFlow/XGBoost/scikit-learn models.,no,yes,no,no,no,no,no,narrow/in-study only,"Comparison signal coded conservatively; dataset, split, and tuning parity were not inferred when unreported."
